Gene,IG Score Before Training,IG Score After Training,Difference
GMPR,0.29146785,0.29150167,3.3825636e-05
ANXA1,0.81847674,0.8185104,3.3676624e-05
CDH6,0.2934447,0.29347768,3.299117e-05
PLSCR1,0.22382852,0.2238613,3.2782555e-05
KIF5C,0.25928408,0.2593166,3.2514334e-05
EIF4G2,0.28194124,0.28197366,3.2424927e-05
HNRNPU,0.26458055,0.26461294,3.2395124e-05
PSMB8,0.19712205,0.19715443,3.2380223e-05
STAT1,0.054762498,0.05479464,3.2141805e-05
SET,0.24660598,0.2466381,3.2126904e-05
ARHGDIB,0.2491551,0.249187,3.1888485e-05
FHL2,0.24197209,0.24200395,3.1858683e-05
TNFAIP3,0.18460073,0.18463242,3.169477e-05
MBNL1,0.23300752,0.23303916,3.1635165e-05
ENPP2,0.27236703,0.27239856,3.1530857e-05
HIST1H2BH,0.25100416,0.25103548,3.132224e-05
FBN1,0.24216864,0.24219993,3.129244e-05
CDK16,0.3003553,0.30038613,3.0845404e-05
EVL,0.2496187,0.24964942,3.0726194e-05
ARF1,0.1912926,0.19132307,3.0472875e-05
IFIH1,0.24859725,0.24862757,3.0323863e-05
CYBB,0.26012892,0.26015913,3.0219555e-05
CD47,0.13170806,0.13173772,2.9668212e-05
IFI35,0.26578265,0.26581225,2.9593706e-05
LOXL1,0.27234223,0.27237177,2.9534101e-05
HMGN1,0.24155277,0.24158227,2.95043e-05
NPC2,0.24315412,0.24318352,2.9399991e-05
HDLBP,0.22003458,0.22006379,2.9206276e-05
CLIC4,0.2661504,0.2661793,2.8908253e-05
STAB1,0.29520342,0.29523212,2.8699636e-05
MT1F,0.2541263,0.254155,2.8699636e-05
LAMP5,0.27093196,0.27096054,2.8580427e-05
GIMAP4,0.26858848,0.26861674,2.8252602e-05
CAPNS1,0.1892886,0.18931684,2.82377e-05
RGS5,0.23539765,0.23542587,2.82228e-05
TNS3,0.21986979,0.2198976,2.7805567e-05
SLC15A3,0.2689353,0.2689629,2.759695e-05
SON,0.25491378,0.2549411,2.732873e-05
ZMIZ1,0.2867225,0.28674975,2.7239323e-05
IRF9,0.30363914,0.3036662,2.7060509e-05
BASP1,0.24520758,0.24523458,2.7000904e-05
GBP2,0.23611136,0.2361383,2.69413e-05
TOMM5,0.22340383,0.22343065,2.682209e-05
RNF10,0.2145345,0.2145612,2.668798e-05
PRDX1,0.26821622,0.26824278,2.655387e-05
CNTN1,0.19056192,0.19058836,2.643466e-05
MX2,0.2727673,0.2727937,2.6404858e-05
GAS6,0.27522367,0.27525002,2.6345253e-05
SOCS3,0.22076897,0.2207951,2.6121736e-05
SCARB2,0.19691356,0.19693965,2.6091933e-05
EIF5,0.17642547,0.1764514,2.592802e-05
NUS1,0.18660676,0.18663263,2.5868416e-05
CAST,0.23194169,0.23196746,2.5779009e-05
PRDX6,0.2426647,0.24268997,2.527237e-05
MLLT6,0.17838235,0.17840753,2.5182962e-05
HOPX,0.25793874,0.2579639,2.515316e-05
ST3GAL4,0.31557366,0.31559876,2.5093555e-05
RAB35,0.23655051,0.23657556,2.5048852e-05
MS4A7,0.25539008,0.255415,2.4914742e-05
ZEB2,0.25994286,0.2599677,2.4855137e-05
MAGED1,0.17477974,0.17480457,2.4825335e-05
NLRC5,0.2307511,0.2307758,2.4706125e-05
LDB1,0.22901505,0.22903968,2.463162e-05
GBP5,0.25884047,0.25886476,2.4288893e-05
USO1,0.22829922,0.22832344,2.4229288e-05
GNAI2,0.7758818,0.77590597,2.4139881e-05
CPXM1,0.2755083,0.27553242,2.4110079e-05
COPA,0.18768117,0.18770522,2.4050474e-05
TMEM140,0.2568708,0.2568948,2.399087e-05
PNRC1,0.19331428,0.19333792,2.3633242e-05
CMTM7,0.2675305,0.26755384,2.3335218e-05
LAMC1,0.19432825,0.19435152,2.3275614e-05
CD4,0.26552507,0.26554832,2.3245811e-05
PRMT2,0.23356017,0.2335834,2.323091e-05
TSHZ2,0.28058326,0.28060648,2.321601e-05
CD53,0.27748057,0.27750364,2.3066998e-05
CLDN11,0.27122995,0.2712529,2.2947788e-05
SEC23B,0.20237419,0.202397,2.2813678e-05
PSMB2,0.22031745,0.22034022,2.2768974e-05
OAS3,0.26421803,0.26424077,2.2739172e-05
APMAP,0.1985087,0.19853128,2.259016e-05
HIST1H2AE,0.26918256,0.2692051,2.2530556e-05
AKT3,0.21497229,0.21499465,2.2366643e-05
DTX3L,0.20273352,0.20275581,2.2292137e-05
ZNF117,0.27405766,0.27407992,2.2262335e-05
KIF5B,0.5380655,0.5380876,2.2113323e-05
PLP2,0.23762631,0.2376484,2.208352e-05
CTHRC1,0.29375482,0.29377687,2.2053719e-05
FAM114A1,0.26380965,0.26383168,2.2023916e-05
COLEC11,0.271137,0.27115887,2.1874905e-05
PARVA,0.264646,0.2646678,2.18153e-05
SUGP2,0.21630837,0.2163301,2.1725893e-05
CD99,0.29356673,0.29358843,2.169609e-05
SRPX2,0.25442028,0.25444183,2.1547079e-05
DDX6,0.24317211,0.24319363,2.1517277e-05
GATM,0.28144795,0.28146926,2.130866e-05
UBB,0.14308998,0.14311126,2.1278858e-05
CYBRD1,0.27728242,0.2773037,2.1278858e-05
LAMP2,0.19676629,0.1967875,2.1219254e-05
TMEM147,0.1905932,0.19061436,2.1159649e-05
VCAN,0.42466268,0.42468378,2.1100044e-05
STOML2,0.21227577,0.21229683,2.105534e-05
LGMN,0.19731747,0.1973385,2.104044e-05
CLEC2D,0.2910743,0.29109517,2.0861626e-05
ZBTB20,0.17953542,0.17955619,2.0772219e-05
STK17B,0.25857654,0.2585972,2.065301e-05
HNRNPD,0.22613397,0.22615455,2.0578504e-05
UBE2L6,0.23610263,0.23612319,2.0563602e-05
FUT8,0.27515206,0.2751726,2.05338e-05
DDX3X,0.24967736,0.2496977,2.0340085e-05
ATG13,0.23202346,0.23204373,2.026558e-05
HERPUD1,0.24684466,0.2468648,2.0131469e-05
TM9SF3,0.20633167,0.20635171,2.0042062e-05
CHD4,0.24603815,0.24605814,1.9982457e-05
XRN1,0.21353486,0.21355478,1.9922853e-05
CDC42BPA,0.2750347,0.27505443,1.9729137e-05
FOS,0.10852811,0.10854771,1.9602478e-05
IGFBP6,0.27195585,0.27197525,1.9401312e-05
CCDC80,0.29953355,0.29955274,1.9192696e-05
TRIM14,0.25030667,0.2503257,1.9043684e-05
UBXN4,0.20642768,0.20644672,1.9043684e-05
EVC,0.2654241,0.26544315,1.9043684e-05
GNB4,0.27635777,0.27637678,1.9013882e-05
SPCS3,0.26529914,0.26531816,1.9013882e-05
MGST3,0.18028297,0.1803019,1.8939376e-05
FCGRT,0.19497864,0.19499756,1.8924475e-05
LRP10,0.21995194,0.21997085,1.8909574e-05
FOXL2,0.26981005,0.26982892,1.886487e-05
LAPTM4A,0.21815887,0.21817766,1.8790364e-05
HNRNPM,0.24206747,0.24208625,1.8775463e-05
TRANK1,0.27019015,0.2702089,1.874566e-05
PRKD2,0.2390735,0.23909222,1.8715858e-05
DLD,0.2229982,0.22301689,1.8686056e-05
DEGS1,0.22658536,0.2266038,1.8447638e-05
CASP4,0.25548488,0.2555033,1.8417835e-05
AFF1,0.21009153,0.21010995,1.8417835e-05
DDX17,0.18746464,0.18748303,1.8388033e-05
TRPS1,0.31215596,0.3121743,1.8328428e-05
CD151,0.17629263,0.17631087,1.8239021e-05
CD14,0.26575005,0.26576814,1.809001e-05
GLS,0.24191584,0.2419339,1.8060207e-05
ZNF638,0.20368119,0.20369916,1.79708e-05
NFKBIA,0.14600861,0.14602654,1.7926097e-05
SKIL,0.24718411,0.247202,1.7881393e-05
PCMTD1,0.17586748,0.17588536,1.7881393e-05
CUL1,0.23004963,0.23006743,1.7806888e-05
LGR5,0.20994772,0.20996548,1.7762184e-05
CORO1A,0.28335562,0.28337336,1.7732382e-05
MAPRE2,0.20852979,0.20854738,1.7598271e-05
TYMP,0.3135761,0.31359366,1.7553568e-05
OSMR,0.2772717,0.27728906,1.7374754e-05
ANAPC5,0.16681513,0.16683248,1.7344952e-05
SH3D19,0.2514695,0.25148684,1.7344952e-05
TNS2,0.26584384,0.26586112,1.7285347e-05
SFPQ,0.26879203,0.26880932,1.7285347e-05
