Gene,IG Score Before Training,IG Score After Training,Difference
CSF1R,0.25805345,0.2581279,7.44462e-05
CENPM,0.2587869,0.2588606,7.370114e-05
GBP2,0.23611136,0.23618476,7.340312e-05
GAS6,0.27522367,0.27529705,7.337332e-05
NOP56,0.22151598,0.22158875,7.276237e-05
PIM2,0.25544798,0.25552058,7.259846e-05
MORF4L1,0.251543,0.25161463,7.164478e-05
MZB1,0.27086264,0.27093425,7.161498e-05
DDX17,0.18746464,0.18753497,7.033348e-05
COL12A1,0.27362752,0.27369753,7.0005655e-05
AKR1A1,0.23514028,0.2352094,6.912649e-05
AIF1,0.39326638,0.3933349,6.851554e-05
MFGE8,0.31114167,0.31120995,6.827712e-05
RGS5,0.23539765,0.23546588,6.823242e-05
LGMN,0.19731747,0.19738561,6.814301e-05
HTRA1,0.30048975,0.30055764,6.788969e-05
WFDC2,0.67796016,0.678028,6.7830086e-05
TFDP1,0.2688721,0.26893985,6.774068e-05
STARD7,0.25978693,0.25985432,6.738305e-05
PSMB9,0.23011476,0.2301821,6.733835e-05
FKBP8,0.25606665,0.25613397,6.7323446e-05
PPP1R18,0.25784343,0.2579106,6.7174435e-05
RECQL4,0.26150194,0.2615689,6.696582e-05
MGP,0.18598856,0.18605533,6.67721e-05
CHCHD10,0.20116408,0.20123044,6.635487e-05
WARS,0.21810369,0.21816948,6.578863e-05
NFKB2,0.2599082,0.25997397,6.5773726e-05
PIM3,0.26290837,0.26297408,6.571412e-05
ARHGAP4,0.25776118,0.2578266,6.54161e-05
CDH11,0.27849135,0.27855667,6.532669e-05
SNRPF,0.24757811,0.2476433,6.519258e-05
MTHFD2,0.24743065,0.24749583,6.517768e-05
S100A9,0.49545056,0.49551564,6.508827e-05
EPAS1,0.28400755,0.2840726,6.505847e-05
DIAPH1,0.25041333,0.25047836,6.502867e-05
PHLDB2,0.24375091,0.24381524,6.432831e-05
GNB4,0.27635777,0.27642184,6.407499e-05
AKNA,0.27070025,0.27076358,6.3329935e-05
CCL4,0.26338077,0.26344356,6.279349e-05
PEA15,0.18653296,0.18659554,6.258488e-05
TMED2,0.2595277,0.25959015,6.2435865e-05
COPS6,0.22950065,0.22956273,6.207824e-05
SURF4,0.23804039,0.23810233,6.194413e-05
PGD,0.34236532,0.34242705,6.172061e-05
STAT2,0.27652234,0.2765838,6.145239e-05
ISG15,0.789699,0.7897602,6.1154366e-05
CIZ1,0.25049677,0.25055772,6.094575e-05
IL7R,0.27403966,0.2741005,6.0856342e-05
PSMC3,0.2505772,0.25063768,6.0468912e-05
SUMO2,0.24327013,0.24333031,6.018579e-05
PLAU,0.2596811,0.25974128,6.017089e-05
TYROBP,0.26663363,0.2666935,5.9872866e-05
CTDSP2,0.2268609,0.22692074,5.9843063e-05
FCER1G,0.2536087,0.25366834,5.9634447e-05
RPN2,0.24347605,0.2435356,5.954504e-05
DDX39B,0.23594168,0.23600107,5.939603e-05
UCP2,0.28663054,0.2866897,5.915761e-05
HES6,0.26220912,0.26226822,5.9098005e-05
APOC1,0.37657693,0.37663576,5.8829784e-05
CXCL13,0.27033368,0.2703922,5.853176e-05
PPP1R14B,0.24245608,0.2425146,5.851686e-05
IRF1,0.22878827,0.2288466,5.8323145e-05
MXRA5,0.26668775,0.26674584,5.8084726e-05
ANO1,0.29570714,0.29576492,5.7786703e-05
STAB1,0.29520342,0.29526114,5.77271e-05
ARPC1A,0.22389545,0.22395311,5.7667494e-05
CDC42SE1,0.25696543,0.25702307,5.763769e-05
FBLIM1,0.269713,0.2697702,5.7190657e-05
DPYSL3,0.28270078,0.28275707,5.6296587e-05
CIITA,0.26850227,0.26855847,5.620718e-05
MRTO4,0.2631401,0.2631963,5.6177378e-05
PLXDC2,0.27557218,0.27562833,5.6147575e-05
TUBG1,0.25666687,0.25672272,5.5849552e-05
CD81,0.337223,0.33727837,5.5372715e-05
ACO2,0.23663595,0.23669124,5.5283308e-05
SRSF9,0.21874288,0.21879815,5.5268407e-05
MRFAP1,0.26494282,0.26499802,5.51939e-05
GZMB,0.28360352,0.28365868,5.51641e-05
ECM1,0.27682862,0.27688375,5.5134296e-05
EED,0.25679734,0.2568513,5.3942204e-05
PYCR2,0.25144067,0.2514945,5.3822994e-05
PLA2G7,0.2719926,0.2720464,5.3793192e-05
ANXA6,0.23564412,0.23569782,5.3703785e-05
ACAT2,0.25971058,0.25976372,5.313754e-05
ARF5,0.22119392,0.22124703,5.310774e-05
UBE2G2,0.23462285,0.23467591,5.3063035e-05
DCTPP1,0.2483125,0.24836513,5.26309e-05
AKR1B1,0.22162148,0.22167405,5.2571297e-05
TAGLN2,0.2991907,0.29924324,5.2541494e-05
TMSB10,0.041593935,0.041646432,5.249679e-05
CMTM3,0.2666731,0.26672548,5.2392483e-05
HCLS1,0.27891988,0.27897227,5.2392483e-05
VKORC1L1,0.24437675,0.2444291,5.234778e-05
NDUFS6,0.23301406,0.23306593,5.1870942e-05
PFN1,0.27494338,0.27499482,5.143881e-05
EVL,0.2496187,0.24966995,5.1259995e-05
SHMT1,0.2683501,0.26840124,5.1140785e-05
GREM1,0.26993892,0.26998985,5.093217e-05
HNRNPUL1,0.204532,0.20458287,5.0872564e-05
CTDNEP1,0.24689613,0.24694683,5.069375e-05
TMED4,0.20124087,0.20129155,5.067885e-05
ZYX,0.28764945,0.28770003,5.057454e-05
SNRNP70,0.27742854,0.2774791,5.057454e-05
MSR1,0.2690922,0.2691427,5.0485134e-05
APOL6,0.2541236,0.2541739,5.030632e-05
ADAMTS15,0.27407148,0.2741218,5.030632e-05
CST3,0.23784406,0.23789416,5.0097704e-05
CD53,0.27748057,0.27753064,5.00679e-05
GIMAP4,0.26858848,0.26863834,4.9859285e-05
SNF8,0.24479084,0.24484053,4.9695373e-05
VMP1,0.18717128,0.18722095,4.966557e-05
ACTR3,0.24067898,0.2407285,4.951656e-05
NUBP2,0.2543166,0.25436586,4.926324e-05
PSAP,0.9084497,0.90849894,4.9233437e-05
SAMD9L,0.2767263,0.2767755,4.9203634e-05
AP1B1,0.19021349,0.19026268,4.9188733e-05
PYCARD,0.2595873,0.25963637,4.9084425e-05
TMEM109,0.24818887,0.2482378,4.8935413e-05
ICAM1,0.254078,0.25412658,4.8577785e-05
FMNL3,0.26720858,0.2672571,4.851818e-05
ADAR,0.55659086,0.5566394,4.851818e-05
YBX3,0.3194942,0.31954256,4.836917e-05
DKK3,0.22703914,0.22708741,4.826486e-05
PCBP1,0.23999526,0.24004346,4.8205256e-05
RAB20,0.2633518,0.26339993,4.813075e-05
DLD,0.2229982,0.22304632,4.811585e-05
TLN1,0.2616375,0.26168555,4.8041344e-05
SLC8A1,0.28274515,0.2827931,4.7951937e-05
EIF4EBP1,0.25400165,0.25404945,4.7802925e-05
ENTPD1,0.27481663,0.27486423,4.759431e-05
ADAMTS1,0.2916567,0.29170403,4.7326088e-05
GDI2,0.26025423,0.2603015,4.7266483e-05
SNRNP200,0.25154468,0.25159192,4.723668e-05
CHST11,0.26721993,0.2672671,4.7177076e-05
SETX,0.23529354,0.23534071,4.7177076e-05
POLE,0.24232002,0.24236709,4.707277e-05
GBP4,0.23647772,0.23652466,4.6938658e-05
ADRM1,0.21462215,0.21466903,4.6879053e-05
GNLY,0.27469292,0.2747397,4.6789646e-05
HELLS,0.21539137,0.21543805,4.6685338e-05
NME1,0.24204406,0.24209072,4.6655536e-05
TAF15,0.24898224,0.24902883,4.659593e-05
OAS3,0.26421803,0.26426458,4.6551228e-05
TAP1,0.22930181,0.22934832,4.6506524e-05
FDPS,0.2483262,0.24837258,4.6387315e-05
BANF1,0.23130006,0.23134631,4.6253204e-05
ETF1,0.25723884,0.257285,4.6163797e-05
IFI44,0.2990398,0.2990859,4.607439e-05
ITPR2,0.28187156,0.2819176,4.6044588e-05
TICRR,0.27117342,0.27121943,4.6014786e-05
CD2,0.26839718,0.26844305,4.5865774e-05
OAS2,0.2969828,0.29702863,4.5835972e-05
KLF16,0.25460267,0.25464848,4.580617e-05
ALDH2,0.19739209,0.19743766,4.556775e-05
MRFAP1L1,0.25643897,0.25648433,4.5359135e-05
KLHL5,0.26757276,0.2676178,4.503131e-05
SLC20A1,0.25109556,0.25114056,4.5001507e-05
CRACR2B,0.27327368,0.27331865,4.4971704e-05
DGKZ,0.22716184,0.22720659,4.4748187e-05
HIST1H4J,0.27456564,0.27461007,4.4435263e-05
LRP10,0.21995194,0.21999615,4.4211745e-05
ACOT7,0.25527802,0.25532222,4.4196844e-05
CRTAP,0.16581984,0.16586351,4.3675303e-05
YY1,0.2678216,0.26786512,4.351139e-05
HAPLN3,0.28021792,0.28026125,4.3332577e-05
CD99,0.29356673,0.29361004,4.3302774e-05
MAZ,0.26851776,0.268561,4.324317e-05
CD47,0.13170806,0.13175121,4.3153763e-05
PIEZO1,0.25947633,0.2595194,4.3064356e-05
FPR3,0.2748284,0.27487102,4.261732e-05
OLFML2B,0.273128,0.27317062,4.261732e-05
NUSAP1,0.2573225,0.2573651,4.261732e-05
HNRNPR,0.26294103,0.26298365,4.261732e-05
DSE,0.27730286,0.2773453,4.2438507e-05
IL2RG,0.23339961,0.23344186,4.2244792e-05
ARF3,0.2521368,0.252179,4.220009e-05
NDUFB10,0.19312714,0.19316933,4.2185187e-05
NAA38,0.23298627,0.23302844,4.2170286e-05
HIST1H2BN,0.2653165,0.26535863,4.2140484e-05
PCOLCE,0.27723378,0.2772758,4.2021275e-05
GM2A,0.25909787,0.25913987,4.1991472e-05
CAPZB,0.27224633,0.2722881,4.1782856e-05
CLK2,0.2631489,0.26319048,4.157424e-05
GLIPR2,0.27413794,0.27417946,4.1514635e-05
POLR2A,0.25018167,0.25022316,4.1484833e-05
CLDN1,0.25971556,0.25975704,4.1484833e-05
UBB,0.14308998,0.14313142,4.144013e-05
PTPN7,0.2744968,0.27453792,4.1127205e-05
IDH2,0.17474578,0.17478682,4.1037798e-05
TIMP3,0.29034236,0.29038325,4.0888786e-05
MS4A7,0.25539008,0.25543094,4.0858984e-05
ECE1,0.36735722,0.367398,4.0769577e-05
BCL2L2,0.24695852,0.24699925,4.0724874e-05
SCNN1A,0.27785155,0.27789223,4.068017e-05
IL32,0.08668334,0.08672399,4.0650368e-05
TACC3,0.28088924,0.28092965,4.041195e-05
MMP9,0.25895768,0.2589981,4.041195e-05
VPS29,0.25810924,0.25814962,4.0382147e-05
TGM2,0.30939066,0.30943102,4.0352345e-05
FBLN2,0.27596906,0.27600935,4.029274e-05
ZNHIT1,0.24440517,0.24444538,4.0218234e-05
QKI,0.27058277,0.27062297,4.0203333e-05
EEPD1,0.26182064,0.26186073,4.0084124e-05
DYNLT1,0.2604583,0.26049826,3.9964914e-05
APOBEC3C,0.27393398,0.2739739,3.9935112e-05
SLC9A3R2,0.26732776,0.26736757,3.9815903e-05
LAMP1,0.2238962,0.22393584,3.963709e-05
LBH,0.2563554,0.25639504,3.963709e-05
IKZF1,0.29422098,0.29426053,3.954768e-05
ARL4C,0.29153052,0.2915699,3.9368868e-05
FYN,0.2702359,0.27027515,3.924966e-05
UBE2M,0.2586697,0.25870895,3.924966e-05
APRT,0.19856688,0.198606,3.9115548e-05
TNFAIP3,0.18460073,0.18463975,3.902614e-05
CD276,0.24414837,0.24418712,3.874302e-05
EMILIN2,0.27435863,0.27439737,3.874302e-05
XRCC2,0.26758707,0.26762578,3.8713217e-05
ACTA2,0.91613954,0.91617817,3.862381e-05
GPX2,0.10069347,0.100732096,3.862381e-05
ETFB,0.21650475,0.21654338,3.862381e-05
LRP1,0.3012506,0.30128902,3.8415194e-05
KLF13,0.2765915,0.2766299,3.838539e-05
CORO1C,0.24810718,0.24814537,3.8191676e-05
TSPAN13,0.13957477,0.13961291,3.8146973e-05
RAB12,0.30497393,0.30501208,3.8146973e-05
ATP6V1F,0.2021012,0.20213926,3.8057566e-05
NNMT,0.27860844,0.2786465,3.8057566e-05
CDV3,0.2607336,0.2607716,3.799796e-05
MSN,0.24080399,0.2408416,3.761053e-05
LAMA4,0.26942965,0.2694671,3.7431717e-05
EHD2,0.2770087,0.27704564,3.6925077e-05
TRA2B,0.31365576,0.3136927,3.6925077e-05
DRAM1,0.2692028,0.26923957,3.6776066e-05
MXRA8,0.2781695,0.2782062,3.668666e-05
GSTP1,0.045146756,0.045183204,3.644824e-05
TNS3,0.21986979,0.21990614,3.6343932e-05
POLR2F,0.23698434,0.23702058,3.6239624e-05
ATG13,0.23202346,0.23205967,3.620982e-05
IRF7,0.26319546,0.2632316,3.6150217e-05
NDUFA3,0.18358175,0.1836179,3.6150217e-05
MAFB,0.2723849,0.27242076,3.5852194e-05
COX8A,0.17319992,0.17323568,3.5762787e-05
APEH,0.19851618,0.1985519,3.5718083e-05
VHL,0.2280156,0.2280511,3.5494566e-05
C9orf16,0.16447315,0.16450855,3.540516e-05
MACF1,0.2419572,0.24199225,3.504753e-05
FBXO5,0.27191296,0.271948,3.504753e-05
NRP1,0.27258185,0.2726168,3.4958124e-05
AMD1,0.24325538,0.24329023,3.4853816e-05
FANCI,0.25816223,0.258197,3.477931e-05
NDUFB6,0.23477736,0.23481211,3.4749508e-05
RHOT2,0.21925311,0.21928786,3.4749508e-05
TMCO3,0.26149085,0.2615256,3.4749508e-05
SLAMF8,0.27193198,0.2719666,3.46303e-05
CDK6,0.25029874,0.25033313,3.439188e-05
SCO1,0.2646234,0.26465777,3.4362078e-05
RHOB,0.2045267,0.204561,3.4302473e-05
COMMD4,0.24108684,0.24112113,3.4287572e-05
MYL9,0.9306672,0.9307015,3.427267e-05
ZNFX1,0.25854206,0.25857627,3.4213066e-05
DPYD,0.17958204,0.17961623,3.4183264e-05
COX11,0.2319153,0.23194923,3.3929944e-05
EHBP1L1,0.2471346,0.24716847,3.387034e-05
PURB,0.24801613,0.24804999,3.385544e-05
