Gene,IG Score Before Training,IG Score After Training,Difference
GNAQ,0.18329205,0.18342638,0.00013433397
HNRNPD,0.22613397,0.22626819,0.00013421476
RCC2,0.29368886,0.29382282,0.00013396144
PML,0.26118433,0.26131794,0.00013360381
WWOX,0.23772523,0.23785882,0.00013358891
THEMIS2,0.29010922,0.2902419,0.00013267994
SPG7,0.14872415,0.14885658,0.00013242662
ANKRD11,0.22626314,0.22639555,0.00013241172
RAP2B,0.26374826,0.26388055,0.00013229251
STAT6,0.2673733,0.26750502,0.00013172626
ADGRE5,0.26173228,0.261864,0.00013172626
FASN,0.16514926,0.16528037,0.00013111532
TACC1,0.19771108,0.19784161,0.00013053417
HIST1H1E,0.22290704,0.22303721,0.00013017654
POLR2A,0.25018167,0.2503104,0.00012871623
SPARC,0.9062073,0.9063351,0.00012779236
GPX3,0.28398603,0.28411373,0.00012770295
RAB3GAP1,0.21891858,0.21904604,0.00012746453
SERPINB6,0.3128096,0.3129369,0.00012731552
UHRF1,0.26721117,0.2673382,0.0001270175
SIN3B,0.27763256,0.27775943,0.00012686849
DUSP1,0.13364716,0.13377398,0.00012682378
RBM17,0.2507715,0.25089824,0.00012674928
SPATS2L,0.1825558,0.1826821,0.00012630224
HAPLN3,0.28021792,0.28034386,0.00012594461
TPX2,0.24142386,0.24154966,0.0001257956
ICAM1,0.254078,0.25420368,0.0001256764
ZNF394,0.26231852,0.26244387,0.00012534857
SDC3,0.26193345,0.2620587,0.00012525916
PPP1R12C,0.24120197,0.24132654,0.00012457371
TNFRSF14,0.26877442,0.26889887,0.0001244545
HCLS1,0.27891988,0.27904418,0.00012430549
OPTN,0.18853569,0.18865986,0.00012417138
SLCO2B1,0.26538104,0.26550516,0.00012412667
VCAN,0.42466268,0.42478663,0.00012394786
FZR1,0.23398058,0.23410448,0.00012390316
CTTN,0.1615407,0.1616646,0.00012390316
ENG,0.3074705,0.30759373,0.0001232326
YPEL3,0.23753534,0.23765847,0.0001231283
MYH9,0.25454342,0.2546664,0.00012296438
RXRA,0.27185485,0.27197757,0.00012272596
HNRNPUL2,0.23053135,0.23065397,0.00012262166
TNFRSF1A,0.22504357,0.2251661,0.00012253225
AKAP17A,0.26425248,0.2643746,0.00012212992
FAM20A,0.25740826,0.2575294,0.00012114644
USP25,0.21187633,0.21199748,0.00012114644
TRIM56,0.25244167,0.25256264,0.00012096763
CHI3L1,0.28071958,0.2808403,0.00012072921
SLC9A3R2,0.26732776,0.2674484,0.0001206398
HIST1H1B,0.6311262,0.63124657,0.00012034178
C2,0.25347608,0.25359643,0.00012034178
NRGN,0.22725585,0.227376,0.00012014806
RAB11FIP1,0.26037732,0.26049733,0.00012001395
CDC42SE2,0.36036938,0.3604892,0.000119805336
LMNB2,0.25825748,0.25837705,0.00011956692
PKD2,0.267625,0.2677445,0.00011950731
AKR1A1,0.23514028,0.2352597,0.000119417906
ROS1,0.27120554,0.27132475,0.00011920929
GSTK1,0.18329215,0.18341126,0.00011910498
SRSF5,0.15490848,0.15502734,0.00011886656
NUDC,0.26806542,0.2681837,0.00011828542
CD68,0.26783577,0.2679539,0.000118136406
MICAL1,0.2902957,0.2904134,0.00011771917
TSC22D3,0.26051643,0.260634,0.00011757016
CYTH4,0.26873866,0.26885608,0.00011742115
