Gene,IG Score Before Training,IG Score After Training,change
PBX1,0.2689414322376251,0.0002315863675903,0.2687098458700348
UHMK1,0.2689414322376251,0.0002627055218908,0.26867872671573434
ALDH9A1,0.2689414322376251,0.0002406917337793,0.26870074050384585
SCYL3,0.2689414322376251,0.0002387428539805,0.2687026893836446
TNN,0.2689414322376251,0.0002419083321001,0.26869952390552504
DNM3,0.2689414322376251,0.0002402547543169,0.26870117748330824
SMG7,0.2689414322376251,0.0002406965650152,0.26870073567260994
BRINP2,0.2689414322376251,0.0002417556970613,0.2686996765405638
RASAL2,0.2689414322376251,0.0002405779669061,0.26870085427071905
SOAT1,0.2689414322376251,0.0002413991460343,0.2687000330915908
ACBD6,0.2689414322376251,0.0002290548436576,0.2687123773939675
RGSL1,0.2689414322376251,0.000242088077357,0.26869934416026814
LINC01350,0.2689414322376251,0.2689414322376251,0.0
ASPM,0.2689414322376251,0.0002358637721044,0.26870556846552074
NEK7,0.2689414322376251,0.0002380089572397,0.26870342328038543
RASSF5,0.2689414322376251,0.000239673157921,0.2687017590797041
PPP1R12B,0.2689414322376251,0.0002131485380232,0.26872828369960194
CR1,0.2689414322376251,0.0002419983065919,0.26869943393103324
CDK18,0.2689414322376251,0.000239860615693,0.26870157162193214
PIK3C2B,0.2689414322376251,0.0002430900349281,0.268698342202697
KCNH1,0.2689414322376251,0.0002393183094682,0.2687021139281569
LPGAT1,0.2689414322376251,0.0002333805023226,0.26870805173530254
FLVCR1,0.2689414322376251,0.0002541299909353,0.2686873022466898
PROX1-AS1,0.2689414322376251,0.2689414322376251,0.0
USH2A,0.2689414322376251,0.0002427414583507,0.26869869077927444
ESRRG,0.2689414322376251,0.0002421982208034,0.2686992340168217
LYPLAL1-AS1,0.2689414322376251,0.2689414322376251,0.0
RAB3GAP2,0.2689414322376251,0.0002393358736298,0.26870209636399534
SUSD4,0.2689414322376251,0.0002385364787187,0.26870289575890643
WDR26,0.2689414322376251,1.8075887055601925e-05,0.2689233563505695
URB2,0.2689414322376251,0.0002386611449765,0.2687027710926486
COG2,0.2689414322376251,0.0002423166733933,0.2686991155642318
TSNAX-DISC1,0.2689414322376251,0.2689414322376251,0.0
DISC1,0.2689414322376251,0.0002372133312746,0.26870421890635054
FMN2,0.2689414322376251,0.0002418236836092,0.2686996085540159
RGS7,0.2689414322376251,0.0002918254467658,0.2686496067908593
PLD5,0.2689414322376251,0.0002412196918157,0.26870021254580945
KIF26B,0.2689414322376251,0.0002420737728243,0.2686993584648008
SMYD3,0.2689414322376251,0.0002381810481892,0.26870325118943594
LOC100130417,0.2689414322376251,0.2689414322376251,0.0
PUSL1,0.2689414322376251,0.0002404217811999,0.26870101045642525
