Gene,IG Score Before Training,IG Score After Training
KCNH8,-1.0,-1.0
KCNJ14,-1.0,-1.0
KCNJ4,-1.0,-1.0
KCNK12,-1.0,-1.0
KCNK4,-1.0,-1.0
KCNK7,-1.0,-1.0
KCNK9,-1.0,-1.0
KCNMB3,-1.0,-1.0
KCNN1,-1.0,-1.0
KCNQ1DN,-1.0,-1.0
KCNQ1OT1,-1.0,-1.0
KCNQ2,-1.0,-1.0
KCNS1,-1.0,-1.0
KCNT1,-1.0,-1.0
KCNU1,-1.0,-1.0
KCP,-1.0,-1.0
KCTD19,-1.0,-1.0
KDELC1,-1.0,-1.0
KDM4D,-1.0,-1.0
KHDC1,-1.0,-1.0
KHDC1L,-1.0,-1.0
KIAA0101,-1.0,-1.0
KIAA0319,-1.0,-1.0
KIAA0802,-1.0,-1.0
KIAA1024,-1.0,-1.0
KIAA1199,-1.0,-1.0
KIAA1211,-1.0,-1.0
KIAA1257,-1.0,-1.0
KIAA1524,-1.0,-1.0
KIAA1530,-1.0,-1.0
KIAA1586,-1.0,-1.0
KIAA1751,-1.0,-1.0
KIAA1804,-1.0,-1.0
KIAA1841,-1.0,-1.0
KIAA1875,-1.0,-1.0
KIAA1984,-1.0,-1.0
KIF11,-1.0,-1.0
KIF14,-1.0,-1.0
KIF15,-1.0,-1.0
KIF18A,-1.0,-1.0
KIF18B,-1.0,-1.0
KIF20A,-1.0,-1.0
KIF21B,-1.0,-1.0
KIF23,-1.0,-1.0
KIF24,-1.0,-1.0
KIF25,-1.0,-1.0
KIF26B,-1.0,-1.0
KIF2C,-1.0,-1.0
KIF4A,-1.0,-1.0
KIF4B,-1.0,-1.0
KIF7,-1.0,-1.0
KIFC1,-1.0,-1.0
KIR2DL1,-1.0,-1.0
KIR2DL4,-1.0,-1.0
KIR2DS4,-1.0,-1.0
KIR3DL3,-1.0,-1.0
KIR3DP1,-1.0,-1.0
KIRREL2,-1.0,-1.0
KISS1,-1.0,-1.0
KISS1R,-1.0,-1.0
KLC3,-1.0,-1.0
KLF1,-1.0,-1.0
KLHDC7B,-1.0,-1.0
KLHDC8A,-1.0,-1.0
KLHL17,-1.0,-1.0
KLHL31,-1.0,-1.0
KLHL35,-1.0,-1.0
KLK14,-1.0,-1.0
KLK4,-1.0,-1.0
KLK6,-1.0,-1.0
KLK8,-1.0,-1.0
KLK9,-1.0,-1.0
KLKP1,-1.0,-1.0
KLRA1,-1.0,-1.0
KLRC2,-1.0,-1.0
KLRC3,-1.0,-1.0
KNTC1,-1.0,-1.0
KPNA7,-1.0,-1.0
KPTN,-1.0,-1.0
KREMEN2,-1.0,-1.0
KRT25,-1.0,-1.0
KRT28,-1.0,-1.0
KRT31,-1.0,-1.0
KRT33B,-1.0,-1.0
KRT34,-1.0,-1.0
KRT36,-1.0,-1.0
KRT37,-1.0,-1.0
KRT38,-1.0,-1.0
KRT39,-1.0,-1.0
KRT71,-1.0,-1.0
KRT74,-1.0,-1.0
KRT75,-1.0,-1.0
KRT78,-1.0,-1.0
KRT81,-1.0,-1.0
KRT82,-1.0,-1.0
KRT83,-1.0,-1.0
KRT86,-1.0,-1.0
KRT9,-1.0,-1.0
KRTAP1-5,-1.0,-1.0
KRTAP10-1,-1.0,-1.0
KRTAP10-2,-1.0,-1.0
KRTAP10-3,-1.0,-1.0
KRTAP12-1,-1.0,-1.0
KRTAP19-1,-1.0,-1.0
KRTAP2-1,-1.0,-1.0
KRTAP2-4,-1.0,-1.0
KRTAP20-4,-1.0,-1.0
KRTAP21-2,-1.0,-1.0
KRTAP3-1,-1.0,-1.0
KRTAP4-1,-1.0,-1.0
KRTAP4-12,-1.0,-1.0
KRTAP5-1,-1.0,-1.0
KRTAP5-10,-1.0,-1.0
KRTAP5-2,-1.0,-1.0
KRTAP5-3,-1.0,-1.0
KRTAP5-4,-1.0,-1.0
KRTAP5-5,-1.0,-1.0
KRTAP5-6,-1.0,-1.0
KRTAP5-7,-1.0,-1.0
KRTAP5-9,-1.0,-1.0
KRTAP6-3,-1.0,-1.0
KRTAP7-1,-1.0,-1.0
L3MBTL,-1.0,-1.0
LAG3,-1.0,-1.0
LAIR2,-1.0,-1.0
LAMP3,-1.0,-1.0
LASS1,-1.0,-1.0
LASS3,-1.0,-1.0
LAT,-1.0,-1.0
LBX1,-1.0,-1.0
LBX2,-1.0,-1.0
LBXCOR1,-1.0,-1.0
LCA5L,-1.0,-1.0
LCE1B,-1.0,-1.0
LCE1C,-1.0,-1.0
LCE1D,-1.0,-1.0
LCE1E,-1.0,-1.0
LCE1F,-1.0,-1.0
LCE2A,-1.0,-1.0
LCE2C,-1.0,-1.0
LCE3D,-1.0,-1.0
LCE5A,-1.0,-1.0
LCE6A,-1.0,-1.0
LCN1,-1.0,-1.0
LCT,-1.0,-1.0
LCTL,-1.0,-1.0
LELP1,-1.0,-1.0
LEMD1,-1.0,-1.0
LENEP,-1.0,-1.0
LETM2,-1.0,-1.0
LEUTX,-1.0,-1.0
LGALS13,-1.0,-1.0
LGALS14,-1.0,-1.0
LGR5,-1.0,-1.0
LHB,-1.0,-1.0
LHFPL5,-1.0,-1.0
LHX2,-1.0,-1.0
LHX3,-1.0,-1.0
LHX4,-1.0,-1.0
LHX5,-1.0,-1.0
LHX8,-1.0,-1.0
LHX9,-1.0,-1.0
LILRA4,-1.0,-1.0
LILRA6,-1.0,-1.0
LILRB3,-1.0,-1.0
LILRP2,-1.0,-1.0
LIM2,-1.0,-1.0
LIN28A,-1.0,-1.0
LIN28B,-1.0,-1.0
LIN37,-1.0,-1.0
LIN9,-1.0,-1.0
LINGO3,-1.0,-1.0
LIPK,-1.0,-1.0
LIPT2,-1.0,-1.0
LMO1,-1.0,-1.0
LMTK3,-1.0,-1.0
LOC100009676,-1.0,-1.0
LOC100101266,-1.0,-1.0
LOC100101938,-1.0,-1.0
LOC100125556,-1.0,-1.0
LOC100127888,-1.0,-1.0
LOC100128023,-1.0,-1.0
LOC100128076,-1.0,-1.0
LOC100128191,-1.0,-1.0
LOC100128288,-1.0,-1.0
LOC100128292,-1.0,-1.0
LOC100128573,-1.0,-1.0
LOC100128788,-1.0,-1.0
LOC100128811,-1.0,-1.0
LOC100128822,-1.0,-1.0
LOC100128842,-1.0,-1.0
LOC100128977,-1.0,-1.0
LOC100129055,-1.0,-1.0
LOC100129066,-1.0,-1.0
LOC100129387,-1.0,-1.0
LOC100129637,-1.0,-1.0
LOC100129716,-1.0,-1.0
LOC100129726,-1.0,-1.0
LOC100130274,-1.0,-1.0
LOC100130331,-1.0,-1.0
LOC100130386,-1.0,-1.0
LOC100130557,-1.0,-1.0
LOC100130776,-1.0,-1.0
LOC100130932,-1.0,-1.0
LOC100131193,-1.0,-1.0
LOC100131434,-1.0,-1.0
LOC100131551,-1.0,-1.0
LOC100131691,-1.0,-1.0
LOC100131726,-1.0,-1.0
LOC100132215,-1.0,-1.0
LOC100132247,-1.0,-1.0
LOC100132354,-1.0,-1.0
LOC100132724,-1.0,-1.0
LOC100132831,-1.0,-1.0
LOC100132832,-1.0,-1.0
LOC100133050,-1.0,-1.0
LOC100133161,-1.0,-1.0
LOC100133308,-1.0,-1.0
LOC100133331,-1.0,-1.0
LOC100133469,-1.0,-1.0
LOC100133612,-1.0,-1.0
LOC100133957,-1.0,-1.0
LOC100133985,-1.0,-1.0
LOC100133991,-1.0,-1.0
LOC100134368,-1.0,-1.0
LOC100134713,-1.0,-1.0
LOC100144603,-1.0,-1.0
LOC100144604,-1.0,-1.0
LOC100170939,-1.0,-1.0
LOC100188947,-1.0,-1.0
LOC100190939,-1.0,-1.0
LOC100190940,-1.0,-1.0
LOC100190986,-1.0,-1.0
LOC100216001,-1.0,-1.0
LOC100216545,-1.0,-1.0
LOC100233209,-1.0,-1.0
LOC100240726,-1.0,-1.0
LOC100270710,-1.0,-1.0
LOC100270804,-1.0,-1.0
LOC100271831,-1.0,-1.0
LOC100271832,-1.0,-1.0
LOC100272146,-1.0,-1.0
LOC100272216,-1.0,-1.0
LOC100272217,-1.0,-1.0
LOC100272228,-1.0,-1.0
LOC100286793,-1.0,-1.0
LOC100287227,-1.0,-1.0
LOC100287704,-1.0,-1.0
LOC100302401,-1.0,-1.0
LOC115110,-1.0,-1.0
LOC116437,-1.0,-1.0
LOC127841,-1.0,-1.0
LOC143666,-1.0,-1.0
LOC144486,-1.0,-1.0
LOC145474,-1.0,-1.0
LOC145783,-1.0,-1.0
LOC146481,-1.0,-1.0
LOC147804,-1.0,-1.0
LOC148145,-1.0,-1.0
LOC148709,-1.0,-1.0
LOC149134,-1.0,-1.0
LOC150185,-1.0,-1.0
LOC150197,-1.0,-1.0
LOC150568,-1.0,-1.0
LOC151534,-1.0,-1.0
LOC151658,-1.0,-1.0
LOC152024,-1.0,-1.0
LOC152225,-1.0,-1.0
LOC153684,-1.0,-1.0
LOC153910,-1.0,-1.0
LOC157381,-1.0,-1.0
LOC157627,-1.0,-1.0
LOC162632,-1.0,-1.0
LOC168474,-1.0,-1.0
LOC200726,-1.0,-1.0
LOC220594,-1.0,-1.0
LOC220729,-1.0,-1.0
LOC220930,-1.0,-1.0
LOC221122,-1.0,-1.0
LOC221442,-1.0,-1.0
LOC222699,-1.0,-1.0
LOC254559,-1.0,-1.0
LOC255025,-1.0,-1.0
LOC256880,-1.0,-1.0
LOC282997,-1.0,-1.0
LOC283332,-1.0,-1.0
LOC283404,-1.0,-1.0
LOC283663,-1.0,-1.0
LOC283761,-1.0,-1.0
LOC283867,-1.0,-1.0
LOC283922,-1.0,-1.0
LOC283999,-1.0,-1.0
LOC284009,-1.0,-1.0
LOC284023,-1.0,-1.0
LOC284632,-1.0,-1.0
LOC284661,-1.0,-1.0
LOC284688,-1.0,-1.0
LOC284749,-1.0,-1.0
LOC284798,-1.0,-1.0
LOC284837,-1.0,-1.0
LOC284900,-1.0,-1.0
LOC285033,-1.0,-1.0
LOC285194,-1.0,-1.0
LOC285359,-1.0,-1.0
LOC285370,-1.0,-1.0
LOC285375,-1.0,-1.0
LOC285401,-1.0,-1.0
LOC285501,-1.0,-1.0
LOC285548,-1.0,-1.0
LOC285627,-1.0,-1.0
LOC285629,-1.0,-1.0
LOC285692,-1.0,-1.0
LOC285696,-1.0,-1.0
LOC285740,-1.0,-1.0
LOC285847,-1.0,-1.0
LOC286135,-1.0,-1.0
LOC286467,-1.0,-1.0
LOC338651,-1.0,-1.0
LOC339240,-1.0,-1.0
LOC339674,-1.0,-1.0
LOC339788,-1.0,-1.0
LOC340074,-1.0,-1.0
LOC340357,-1.0,-1.0
LOC341056,-1.0,-1.0
LOC344967,-1.0,-1.0
LOC347376,-1.0,-1.0
LOC348840,-1.0,-1.0
LOC348926,-1.0,-1.0
LOC349114,-1.0,-1.0
LOC360030,-1.0,-1.0
LOC374443,-1.0,-1.0
LOC374491,-1.0,-1.0
LOC388242,-1.0,-1.0
LOC388428,-1.0,-1.0
LOC388946,-1.0,-1.0
LOC389458,-1.0,-1.0
LOC389634,-1.0,-1.0
LOC389791,-1.0,-1.0
LOC390858,-1.0,-1.0
LOC392196,-1.0,-1.0
LOC399744,-1.0,-1.0
LOC399815,-1.0,-1.0
LOC400696,-1.0,-1.0
LOC400794,-1.0,-1.0
LOC400927,-1.0,-1.0
LOC400940,-1.0,-1.0
LOC401010,-1.0,-1.0
LOC401052,-1.0,-1.0
LOC401387,-1.0,-1.0
LOC401431,-1.0,-1.0
LOC407835,-1.0,-1.0
LOC440040,-1.0,-1.0
LOC440354,-1.0,-1.0
LOC440356,-1.0,-1.0
LOC440563,-1.0,-1.0
LOC440905,-1.0,-1.0
LOC441089,-1.0,-1.0
LOC441294,-1.0,-1.0
LOC441454,-1.0,-1.0
LOC442308,-1.0,-1.0
LOC442421,-1.0,-1.0
LOC442454,-1.0,-1.0
LOC442459,-1.0,-1.0
LOC494141,-1.0,-1.0
LOC541471,-1.0,-1.0
LOC541473,-1.0,-1.0
LOC595101,-1.0,-1.0
LOC606724,-1.0,-1.0
LOC613037,-1.0,-1.0
LOC619207,-1.0,-1.0
LOC641298,-1.0,-1.0
LOC641367,-1.0,-1.0
LOC642587,-1.0,-1.0
LOC642826,-1.0,-1.0
LOC642846,-1.0,-1.0
LOC643387,-1.0,-1.0
LOC643486,-1.0,-1.0
LOC643677,-1.0,-1.0
LOC643719,-1.0,-1.0
LOC643923,-1.0,-1.0
LOC643955,-1.0,-1.0
LOC644165,-1.0,-1.0
LOC644669,-1.0,-1.0
LOC645166,-1.0,-1.0
LOC645332,-1.0,-1.0
LOC645431,-1.0,-1.0
LOC645676,-1.0,-1.0
LOC646214,-1.0,-1.0
LOC646498,-1.0,-1.0
LOC646851,-1.0,-1.0
LOC647121,-1.0,-1.0
LOC647859,-1.0,-1.0
LOC647946,-1.0,-1.0
LOC648691,-1.0,-1.0
LOC649330,-1.0,-1.0
LOC650293,-1.0,-1.0
LOC652276,-1.0,-1.0
LOC653544,-1.0,-1.0
LOC653545,-1.0,-1.0
LOC653786,-1.0,-1.0
LOC723972,-1.0,-1.0
LOC727677,-1.0,-1.0
LOC727896,-1.0,-1.0
LOC727924,-1.0,-1.0
LOC728410,-1.0,-1.0
LOC728613,-1.0,-1.0
LOC728640,-1.0,-1.0
LOC728643,-1.0,-1.0
LOC728758,-1.0,-1.0
LOC728875,-1.0,-1.0
LOC729156,-1.0,-1.0
LOC729234,-1.0,-1.0
LOC729375,-1.0,-1.0
LOC729603,-1.0,-1.0
LOC729609,-1.0,-1.0
LOC729668,-1.0,-1.0
LOC729799,-1.0,-1.0
LOC729991-MEF2B,-1.0,-1.0
LOC730101,-1.0,-1.0
LOC730668,-1.0,-1.0
LOC731779,-1.0,-1.0
LOC731789,-1.0,-1.0
LOC732275,-1.0,-1.0
LOC81691,-1.0,-1.0
LOC84740,-1.0,-1.0
LOC84931,-1.0,-1.0
LOC84989,-1.0,-1.0
LOC90834,-1.0,-1.0
LOC91149,-1.0,-1.0
LOC91450,-1.0,-1.0
LOC92659,-1.0,-1.0
LOC93432,-1.0,-1.0
LOH12CR1,-1.0,-1.0
LOXL3,-1.0,-1.0
LPAR2,-1.0,-1.0
LPAR4,-1.0,-1.0
LPAR5,-1.0,-1.0
LPO,-1.0,-1.0
LPPR3,-1.0,-1.0
LPPR5,-1.0,-1.0
LQK1,-1.0,-1.0
LRFN1,-1.0,-1.0
LRGUK,-1.0,-1.0
LRIT2,-1.0,-1.0
LRP5L,-1.0,-1.0
LRRC10,-1.0,-1.0
LRRC14B,-1.0,-1.0
LRRC15,-1.0,-1.0
LRRC16B,-1.0,-1.0
LRRC24,-1.0,-1.0
LRRC25,-1.0,-1.0
LRRC36,-1.0,-1.0
LRRC46,-1.0,-1.0
LRRC56,-1.0,-1.0
LRRC69,-1.0,-1.0
LRRC8E,-1.0,-1.0
LRRIQ4,-1.0,-1.0
LRTM2,-1.0,-1.0
LTA,-1.0,-1.0
LTB4R,-1.0,-1.0
LTB4R2,-1.0,-1.0
LUZP4,-1.0,-1.0
LY6G5B,-1.0,-1.0
LY6G5C,-1.0,-1.0
LY6G6C,-1.0,-1.0
LY6G6D,-1.0,-1.0
LY6G6E,-1.0,-1.0
LY6G6F,-1.0,-1.0
LY6H,-1.0,-1.0
LYG1,-1.0,-1.0
LYG2,-1.0,-1.0
LYPD4,-1.0,-1.0
LYPD5,-1.0,-1.0
LYPLA2P1,-1.0,-1.0
LYZL2,-1.0,-1.0
MAD2L1,-1.0,-1.0
MAFA,-1.0,-1.0
MAGEA1,-1.0,-1.0
MAGEA10,-1.0,-1.0
MAGEA11,-1.0,-1.0
MAGEA12,-1.0,-1.0
MAGEA2,-1.0,-1.0
MAGEA3,-1.0,-1.0
MAGEA4,-1.0,-1.0
MAGEA5,-1.0,-1.0
MAGEA6,-1.0,-1.0
MAGEA8,-1.0,-1.0
MAGEA9B,-1.0,-1.0
MAGEB1,-1.0,-1.0
MAGEB10,-1.0,-1.0
MAGEB16,-1.0,-1.0
MAGEB18,-1.0,-1.0
MAGEB2,-1.0,-1.0
MAGEB3,-1.0,-1.0
MAGEB6,-1.0,-1.0
MAGEC1,-1.0,-1.0
MAGEC2,-1.0,-1.0
MAGEC3,-1.0,-1.0
MAGED4,-1.0,-1.0
MAGED4B,-1.0,-1.0
MAMDC4,-1.0,-1.0
MAMSTR,-1.0,-1.0
MANEAL,-1.0,-1.0
MAP1D,-1.0,-1.0
MAP3K9,-1.0,-1.0
MAP6D1,-1.0,-1.0
MAP7D2,-1.0,-1.0
MAPK12,-1.0,-1.0
MAPK15,-1.0,-1.0
MAPK8IP2,-1.0,-1.0
MARCH1,-1.0,-1.0
MARCH11,-1.0,-1.0
MARCH3,-1.0,-1.0
MARCH4,-1.0,-1.0
MAST1,-1.0,-1.0
MATK,-1.0,-1.0
MATN1,-1.0,-1.0
MATN3,-1.0,-1.0
MBD3L1,-1.0,-1.0
MBD3L2,-1.0,-1.0
MBD3L5,-1.0,-1.0
MBLAC1,-1.0,-1.0
MC1R,-1.0,-1.0
MC3R,-1.0,-1.0
MCART2,-1.0,-1.0
MCART6,-1.0,-1.0
MCM10,-1.0,-1.0
MCM3APAS,-1.0,-1.0
MCM8,-1.0,-1.0
MCM9,-1.0,-1.0
MDFI,-1.0,-1.0
MEF2B,-1.0,-1.0
MEG8,-1.0,-1.0
MEGF11,-1.0,-1.0
MEIG1,-1.0,-1.0
MEIS3,-1.0,-1.0
MELK,-1.0,-1.0
MEPE,-1.0,-1.0
MESP2,-1.0,-1.0
METTL11B,-1.0,-1.0
METTL12,-1.0,-1.0
MEX3A,-1.0,-1.0
MEX3B,-1.0,-1.0
MFI2,-1.0,-1.0
MFSD2B,-1.0,-1.0
MFSD9,-1.0,-1.0
MGAT5B,-1.0,-1.0
MGC12916,-1.0,-1.0
MGC12982,-1.0,-1.0
MGC16025,-1.0,-1.0
MGC16142,-1.0,-1.0
MGC16275,-1.0,-1.0
MGC16384,-1.0,-1.0
MGC23270,-1.0,-1.0
MGC2889,-1.0,-1.0
MGC4473,-1.0,-1.0
MGC45800,-1.0,-1.0
MGC57346,-1.0,-1.0
MGC72080,-1.0,-1.0
MGC87042,-1.0,-1.0
MIA,-1.0,-1.0
MIAT,-1.0,-1.0
MICB,-1.0,-1.0
MIP,-1.0,-1.0
MIR155HG,-1.0,-1.0
MIR17HG,-1.0,-1.0
MIXL1,-1.0,-1.0
MKRN3,-1.0,-1.0
MLC1,-1.0,-1.0
MLF1IP,-1.0,-1.0
MMACHC,-1.0,-1.0
MMD2,-1.0,-1.0
MMP11,-1.0,-1.0
MMP12,-1.0,-1.0
MMP13,-1.0,-1.0
MMP16,-1.0,-1.0
MMP17,-1.0,-1.0
MMP25,-1.0,-1.0
MMP26,-1.0,-1.0
MMP3,-1.0,-1.0
MMP8,-1.0,-1.0
MMP9,-1.0,-0.9999402761459351
MND1,-1.0,-1.0
MNS1,-1.0,-1.0
MNX1,-1.0,-1.0
MOG,-1.0,-1.0
MORN3,-1.0,-1.0
MOV10L1,-1.0,-1.0
MPP3,-1.0,-1.0
MPP4,-1.0,-1.0
MPP6,-1.0,-1.0
MRGPRX1,-1.0,-1.0
MRGPRX3,-1.0,-1.0
MRM1,-1.0,-1.0
MRS2P2,-1.0,-1.0
MS4A14,-1.0,-1.0
MS4A15,-1.0,-1.0
MS4A3,-1.0,-1.0
MSC,-1.0,-1.0
MSGN1,-1.0,-1.0
MSH4,-1.0,-1.0
MSH5,-1.0,-1.0
MSI1,-1.0,-1.0
MSL3L2,-1.0,-1.0
MSLNL,-1.0,-1.0
MST1R,-1.0,-1.0
MSTO2P,-1.0,-1.0
MSX2,-1.0,-1.0
MTBP,-1.0,-1.0
MTCP1,-1.0,-1.0
MTERF,-1.0,-1.0
MTL5,-1.0,-1.0
MTNR1B,-1.0,-1.0
MTRF1,-1.0,-1.0
MTVR2,-1.0,-1.0
MUC17,-1.0,-1.0
MURC,-1.0,-1.0
MXD3,-1.0,-1.0
MYADML,-1.0,-1.0
MYADML2,-1.0,-1.0
MYBL1,-1.0,-1.0
MYBL2,-1.0,-1.0
MYCL1,-1.0,-1.0
MYCN,-1.0,-1.0
MYCNOS,-1.0,-1.0
MYEOV,-1.0,-1.0
MYH15,-1.0,-1.0
MYH16,-1.0,-1.0
MYH4,-1.0,-1.0
MYH6,-1.0,-1.0
MYL10,-1.0,-1.0
MYL7,-1.0,-1.0
MYLK2,-1.0,-1.0
MYLPF,-1.0,-1.0
MYO1H,-1.0,-1.0
MYO3A,-1.0,-1.0
MYO7A,-1.0,-1.0
MYOD1,-1.0,-1.0
MYOG,-1.0,-1.0
MYOM3,-1.0,-1.0
MYPOP,-1.0,-1.0
MYT1,-1.0,-1.0
N4BP3,-1.0,-1.0
NAA11,-1.0,-1.0
NACA2,-1.0,-1.0
NACAP1,-1.0,-1.0
NANOG,-1.0,-1.0
NANOS2,-1.0,-1.0
NANOS3,-1.0,-1.0
NANP,-1.0,-1.0
NBPF16,-1.0,-1.0
NBPF22P,-1.0,-1.0
NBPF4,-1.0,-1.0
NBPF6,-1.0,-1.0
NBPF7,-1.0,-1.0
NBR2,-1.0,-1.0
NCAN,-1.0,-1.0
NCAPG,-1.0,-1.0
NCAPH,-1.0,-1.0
NCF1,-1.0,-1.0
NCRNA00029,-1.0,-1.0
NCRNA00052,-1.0,-1.0
NCRNA00095,-1.0,-1.0
NCRNA00099,-1.0,-1.0
NCRNA00105,-1.0,-1.0
NCRNA00107,-1.0,-1.0
NCRNA00114,-1.0,-1.0
NCRNA00115,-1.0,-1.0
NCRNA00119,-1.0,-1.0
NCRNA00152,-1.0,-1.0
NCRNA00158,-1.0,-1.0
NCRNA00159,-1.0,-1.0
NCRNA00160,-1.0,-1.0
NCRNA00162,-1.0,-1.0
NCRNA00164,-1.0,-1.0
NCRNA00169,-1.0,-1.0
NCRNA00171,-1.0,-1.0
NCRNA00173,-1.0,-1.0
NCRNA00174,-1.0,-1.0
NCRNA00176,-1.0,-1.0
NCRNA00182,-1.0,-1.0
NCRNA00202,-1.0,-1.0
NCRNA00203,-1.0,-1.0
NCRNA00204B,-1.0,-1.0
NDC80,-1.0,-1.0
NEB,-1.0,-1.0
NEIL3,-1.0,-1.0
NEK2,-1.0,-1.0
NEK3,-1.0,-1.0
NEK5,-1.0,-1.0
NEK8,-1.0,-1.0
NEURL2,-1.0,-1.0
NEURL3,-1.0,-1.0
NEUROD2,-1.0,-1.0
NEUROD4,-1.0,-1.0
NEUROG1,-1.0,-1.0
NEUROG2,-1.0,-1.0
NF1P1,-1.0,-1.0
NFAM1,-1.0,-1.0
NFE2,-1.0,-1.0
NFKBIL2,-1.0,-1.0
NGB,-1.0,-1.0
NHEG1,-1.0,-1.0
NHLH1,-1.0,-1.0
NHLH2,-1.0,-1.0
NHLRC1,-1.0,-1.0
NKAIN1,-1.0,-1.0
NKAIN4,-1.0,-1.0
NKD2,-1.0,-1.0
NKPD1,-1.0,-1.0
NKX1-2,-1.0,-1.0
NKX2-2,-1.0,-1.0
NKX2-4,-1.0,-1.0
NKX2-5,-1.0,-1.0
NKX2-6,-1.0,-1.0
NKX2-8,-1.0,-1.0
NKX3-2,-1.0,-1.0
NKX6-1,-1.0,-1.0
NKX6-3,-1.0,-1.0
NLRP10,-1.0,-1.0
NLRP11,-1.0,-1.0
NLRP12,-1.0,-1.0
NLRP4,-1.0,-1.0
NLRP5,-1.0,-1.0
NLRP7,-1.0,-1.0
NLRP8,-1.0,-1.0
NME1-NME2,-1.0,-1.0
NME2P1,-1.0,-1.0
NOBOX,-1.0,-1.0
NOD2,-1.0,-1.0
NODAL,-1.0,-1.0
NOTO,-1.0,-1.0
NOTUM,-1.0,-1.0
NOX1,-1.0,-1.0
NOX3,-1.0,-1.0
NOX4,-1.0,-1.0
NOXO1,-1.0,-1.0
NPAS1,-1.0,-1.0
NPB,-1.0,-1.0
NPBWR1,-1.0,-1.0
NPBWR2,-1.0,-1.0
NPFF,-1.0,-1.0
NPFFR1,-1.0,-1.0
NPPA,-1.0,-1.0
NPSR1,-1.0,-1.0
NPTX2,-1.0,-1.0
NPVF,-1.0,-1.0
NPW,-1.0,-1.0
NR0B1,-1.0,-1.0
NR2E1,-1.0,-1.0
NR5A1,-1.0,-1.0
NRADDP,-1.0,-1.0
NRIP3,-1.0,-1.0
NSUN3,-1.0,-1.0
NSUN5P1,-1.0,-1.0
NT5M,-1.0,-1.0
NTF4,-1.0,-1.0
NTN3,-1.0,-1.0
NTN5,-1.0,-1.0
NTNG2,-1.0,-1.0
NTSR1,-1.0,-1.0
NTSR2,-1.0,-1.0
NUDT11,-1.0,-1.0
NUDT17,-1.0,-1.0
NUDT18,-1.0,-1.0
NUF2,-1.0,-1.0
NUP62CL,-1.0,-1.0
NUSAP1,-1.0,-1.0
NXF2,-1.0,-1.0
NXF2B,-1.0,-1.0
NXF4,-1.0,-1.0
NXF5,-1.0,-1.0
NXPH1,-1.0,-1.0
NXPH4,-1.0,-1.0
OAZ3,-1.0,-1.0
OBP2A,-1.0,-1.0
OBP2B,-1.0,-1.0
OC90,-1.0,-1.0
OCLM,-1.0,-1.0
ODF3,-1.0,-1.0
ODF3L2,-1.0,-1.0
OIP5,-1.0,-1.0
OLIG2,-1.0,-1.0
OLIG3,-1.0,-1.0
OLR1,-1.0,-1.0
OMP,-1.0,-1.0
ONECUT3,-1.0,-1.0
OPN1SW,-1.0,-1.0
OPN4,-1.0,-1.0
OPN5,-1.0,-1.0
OPRD1,-1.0,-1.0
OPRK1,-1.0,-1.0
OPRL1,-1.0,-1.0
OR10A2,-1.0,-1.0
OR10A4,-1.0,-1.0
OR10A5,-1.0,-1.0
OR10AD1,-1.0,-1.0
OR10H1,-1.0,-1.0
OR10H2,-1.0,-1.0
OR10H5,-1.0,-1.0
OR10Q1,-1.0,-1.0
OR10S1,-1.0,-1.0
OR10W1,-1.0,-1.0
OR11A1,-1.0,-1.0
OR11H12,-1.0,-1.0
OR11H4,-1.0,-1.0
OR11H6,-1.0,-1.0
OR12D2,-1.0,-1.0
OR13C8,-1.0,-1.0
OR13D1,-1.0,-1.0
OR13G1,-1.0,-1.0
OR13H1,-1.0,-1.0
OR1B1,-1.0,-1.0
OR1C1,-1.0,-1.0
OR1F1,-1.0,-1.0
OR1F2P,-1.0,-1.0
OR1G1,-1.0,-1.0
OR1J1,-1.0,-1.0
OR1J2,-1.0,-1.0
OR1J4,-1.0,-1.0
OR1L4,-1.0,-1.0
OR1M1,-1.0,-1.0
OR1N1,-1.0,-1.0
OR1Q1,-1.0,-1.0
OR2AE1,-1.0,-1.0
OR2AG2,-1.0,-1.0
OR2AK2,-1.0,-1.0
OR2B2,-1.0,-1.0
OR2B6,-1.0,-1.0
OR2D2,-1.0,-1.0
OR2D3,-1.0,-1.0
OR2G2,-1.0,-1.0
OR2G3,-1.0,-1.0
OR2H1,-1.0,-1.0
OR2H2,-1.0,-1.0
OR2J3,-1.0,-1.0
OR2K2,-1.0,-1.0
OR2L1P,-1.0,-1.0
OR2L2,-1.0,-1.0
OR2L8,-1.0,-1.0
OR2M1P,-1.0,-1.0
OR3A4,-1.0,-1.0
OR4A47,-1.0,-1.0
OR4C6,-1.0,-1.0
OR4D10,-1.0,-1.0
OR4F29,-1.0,-1.0
OR4F4,-1.0,-1.0
OR4M1,-1.0,-1.0
OR4M2,-1.0,-1.0
OR4N2,-1.0,-1.0
OR4N3P,-1.0,-1.0
OR4N4,-1.0,-1.0
OR4Q3,-1.0,-1.0
OR51A7,-1.0,-1.0
OR51B2,-1.0,-1.0
OR51B5,-1.0,-1.0
OR51E1,-1.0,-1.0
OR51I1,-1.0,-1.0
OR51M1,-1.0,-1.0
OR51Q1,-1.0,-1.0
OR51S1,-1.0,-1.0
OR51T1,-1.0,-1.0
OR52A4,-1.0,-1.0
