Gene,IG Score Before Training,IG Score After Training
C12orf56,-1.0,-1.0
C12orf60,-1.0,-1.0
C12orf61,-1.0,-1.0
C12orf66,-1.0,-1.0
C12orf70,-1.0,-1.0
C12orf73,-1.0,-1.0
C12orf77,-1.0,-1.0
C13orf16,-1.0,-1.0
C13orf18,-1.0,-1.0
C13orf27,-1.0,-1.0
C13orf29,-1.0,-1.0
C13orf34,-1.0,-1.0
C13orf35,-1.0,-1.0
C13orf38,-1.0,-1.0
C14orf115,-1.0,-1.0
C14orf138,-1.0,-1.0
C14orf143,-1.0,-1.0
C14orf145,-1.0,-1.0
C14orf148,-1.0,-1.0
C14orf162,-1.0,-1.0
C14orf174,-1.0,-1.0
C14orf176,-1.0,-1.0
C14orf183,-1.0,-1.0
C14orf184,-1.0,-1.0
C14orf19,-1.0,-1.0
C14orf23,-1.0,-1.0
C14orf33,-1.0,-1.0
C14orf34,-1.0,-1.0
C14orf39,-1.0,-1.0
C14orf48,-1.0,-1.0
C14orf72,-1.0,-1.0
C14orf80,-1.0,-1.0
C15orf21,-1.0,-1.0
C15orf26,-1.0,-1.0
C15orf28,-1.0,-1.0
C15orf32,-1.0,-1.0
C15orf34,-1.0,-1.0
C15orf42,-1.0,-1.0
C15orf53,-1.0,-1.0
C15orf54,-1.0,-1.0
C15orf55,-1.0,-1.0
C15orf60,-1.0,-1.0
C15orf62,-1.0,-1.0
C16orf3,-1.0,-1.0
C16orf55,-1.0,-1.0
C16orf59,-1.0,-1.0
C16orf73,-1.0,-1.0
C16orf75,-1.0,-1.0
C16orf79,-1.0,-1.0
C16orf82,-1.0,-1.0
C16orf90,-1.0,-1.0
C16orf92,-1.0,-1.0
C16orf93,-1.0,-1.0
C17orf100,-1.0,-1.0
C17orf104,-1.0,-1.0
C17orf42,-1.0,-1.0
C17orf46,-1.0,-1.0
C17orf47,-1.0,-1.0
C17orf53,-1.0,-1.0
C17orf60,-1.0,-1.0
C17orf64,-1.0,-1.0
C17orf65,-1.0,-1.0
C17orf66,-1.0,-1.0
C17orf67,-1.0,-1.0
C17orf69,-1.0,-1.0
C17orf73,-1.0,-1.0
C17orf74,-1.0,-1.0
C17orf76,-1.0,-1.0
C17orf77,-1.0,-1.0
C17orf82,-1.0,-1.0
C17orf86,-1.0,-1.0
C17orf93,-1.0,-1.0
C17orf96,-1.0,-1.0
C17orf98,-1.0,-1.0
C17orf99,-1.0,-1.0
C18orf45,-1.0,-1.0
C18orf54,-1.0,-1.0
C18orf56,-1.0,-1.0
C19orf18,-1.0,-1.0
C19orf20,-1.0,-1.0
C19orf21,-1.0,-1.0
C19orf23,-1.0,-1.0
C19orf26,-1.0,-1.0
C19orf34,-1.0,-1.0
C19orf38,-1.0,-1.0
C19orf39,-1.0,-1.0
C19orf40,-1.0,-1.0
C19orf41,-1.0,-1.0
C19orf44,-1.0,-1.0
C19orf45,-1.0,-1.0
C19orf51,-1.0,-1.0
C19orf55,-1.0,-1.0
C19orf57,-1.0,-1.0
C19orf59,-1.0,-1.0
C19orf71,-1.0,-1.0
C19orf73,-1.0,-1.0
C19orf75,-1.0,-1.0
C19orf76,-1.0,-1.0
C1orf104,-1.0,-1.0
C1orf105,-1.0,-1.0
C1orf111,-1.0,-1.0
C1orf112,-1.0,-1.0
C1orf113,-1.0,-1.0
C1orf127,-1.0,-1.0
C1orf135,-1.0,-1.0
C1orf14,-1.0,-1.0
C1orf146,-1.0,-1.0
C1orf152,-1.0,-1.0
C1orf156,-1.0,-1.0
C1orf157,-1.0,-1.0
C1orf159,-1.0,-1.0
C1orf170,-1.0,-1.0
C1orf182,-1.0,-1.0
C1orf187,-1.0,-1.0
C1orf200,-1.0,-1.0
C1orf213,-1.0,-1.0
C1orf220,-1.0,-1.0
C1orf223,-1.0,-1.0
C1orf227,-1.0,-1.0
C1orf228,-1.0,-1.0
C1orf50,-1.0,-1.0
C1orf51,-1.0,-1.0
C1orf53,-1.0,-1.0
C1orf59,-1.0,-1.0
C1orf61,-1.0,-1.0
C1orf65,-1.0,-1.0
C1orf68,-1.0,-1.0
C1orf74,-1.0,-1.0
C1orf83,-1.0,-1.0
C1orf84,-1.0,-1.0
C1orf91,-1.0,-1.0
C1orf94,-1.0,-1.0
C1orf97,-1.0,-1.0
C1QL1,-1.0,-1.0
C1QL2,-1.0,-1.0
C1QL4,-1.0,-1.0
C1QTNF8,-1.0,-1.0
C20orf103,-1.0,-1.0
C20orf106,-1.0,-1.0
C20orf107,-1.0,-1.0
C20orf118,-1.0,-1.0
C20orf12,-1.0,-1.0
C20orf123,-1.0,-1.0
C20orf134,-1.0,-1.0
C20orf135,-1.0,-1.0
C20orf141,-1.0,-1.0
C20orf144,-1.0,-1.0
C20orf151,-1.0,-1.0
C20orf152,-1.0,-1.0
C20orf165,-1.0,-1.0
C20orf173,-1.0,-1.0
C20orf185,-1.0,-1.0
C20orf186,-1.0,-1.0
C20orf191,-1.0,-1.0
C20orf195,-1.0,-1.0
C20orf196,-1.0,-1.0
C20orf197,-1.0,-1.0
C20orf201,-1.0,-1.0
C20orf203,-1.0,-1.0
C20orf46,-1.0,-1.0
C20orf70,-1.0,-1.0
C20orf94,-1.0,-1.0
C21orf125,-1.0,-1.0
C21orf129,-1.0,-1.0
C21orf45,-1.0,-1.0
C21orf56,-1.0,-1.0
C21orf57,-1.0,-1.0
C21orf58,-1.0,-1.0
C21orf67,-1.0,-1.0
C21orf70,-1.0,-1.0
C21orf81,-1.0,-1.0
C21orf90,-1.0,-1.0
C21orf96,-1.0,-1.0
C21orf99,-1.0,-1.0
C22orf24,-1.0,-1.0
C22orf27,-1.0,-1.0
C22orf41,-1.0,-1.0
C22orf43,-1.0,-1.0
C2CD4A,-1.0,-1.0
C2CD4C,-1.0,-1.0
C2CD4D,-1.0,-1.0
C2orf14,-1.0,-1.0
C2orf15,-1.0,-1.0
C2orf16,-1.0,-1.0
C2orf27A,-1.0,-1.0
C2orf27B,-1.0,-1.0
C2orf34,-1.0,-1.0
C2orf48,-1.0,-1.0
C2orf51,-1.0,-1.0
C2orf52,-1.0,-1.0
C2orf53,-1.0,-1.0
C2orf57,-1.0,-1.0
C2orf61,-1.0,-1.0
C2orf63,-1.0,-1.0
C2orf65,-1.0,-1.0
C2orf66,-1.0,-1.0
C2orf70,-1.0,-1.0
C2orf78,-1.0,-1.0
C2orf80,-1.0,-1.0
C2orf81,-1.0,-1.0
C2orf82,-1.0,-1.0
C2orf83,-1.0,-1.0
C2orf86,-1.0,-1.0
C2orf89,-1.0,-1.0
C3orf20,-1.0,-1.0
C3orf22,-1.0,-1.0
