Gene,IG Score Before Training,IG Score After Training,Difference,rank
MAGEA2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA6,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT20,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT23,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT39,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT40,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP3-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP3-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP3-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP1-5,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT222,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT72,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT25,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT26,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT27,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT28,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT10,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT12,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT77,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT76,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT79,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT78,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT71,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT74,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP2-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT24,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP6-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP20-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP20-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP20-2,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12F,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12E,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12G,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12H,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE1,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE2A,0.2689414322376251,0.2689414322376251,0.0,130.0
SAGE1,0.2689414322376251,0.2689414322376251,0.0,130.0
XAGE2,0.2689414322376251,0.2689414322376251,0.0,130.0
CCNB1,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE10,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12J,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP2-2,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE2E,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12B,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12C,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE12D,0.2689414322376251,0.2689414322376251,0.0,130.0
QSOX2,0.2689414322376251,0.2689414322376251,0.0,130.0
BRAF,0.2689414322376251,0.2689414322376251,0.0,130.0
EPHA3,0.2689414322376251,0.2689414322376251,0.0,130.0
TELO2,0.2689414322376251,0.2689414322376251,0.0,130.0
CAGE1,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM18,0.2689414322376251,0.2689414322376251,0.0,130.0
NRAS,0.2689414322376251,0.2689414322376251,0.0,130.0
MRAS,0.2689414322376251,0.2689414322376251,0.0,130.0
HRAS,0.2689414322376251,0.2689414322376251,0.0,130.0
KRAS,0.2689414322376251,0.2689414322376251,0.0,130.0
ERAS,0.2689414322376251,0.2689414322376251,0.0,130.0
GAGE13,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP2-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP2-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP4-7,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-9,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-10,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-11,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP12-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP12-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP12-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP12-1,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM16,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP22-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-5,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-6,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-7,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-8,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP20-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP21-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP21-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP21-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP8-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP7-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP11-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-8,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP22-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP6-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP6-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP24-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT34,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT31,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT37,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT38,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT32,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT35,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT36,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT13,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF19,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF17,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF20,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAME,0.2689414322376251,0.2689414322376251,0.0,130.0
SSX2IP,0.2689414322376251,0.2689414322376251,0.0,130.0
SSX2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA10,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF9,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF13,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF18,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF5,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF8,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF33,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF15,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF14,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF2,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF4,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF10,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF7,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF6,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF27,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF25,0.2689414322376251,0.2689414322376251,0.0,130.0
SSX2B,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP10-12,0.2689414322376251,0.2689414322376251,0.0,130.0
AFP,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM21,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM4,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM7,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM5,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM6,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM3,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM1,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM8,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM20,0.2689414322376251,0.2689414322376251,0.0,130.0
CEACAM19,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP15-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTDAP,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-5,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-6,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-7,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP25-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP26-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP27-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP23-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP13-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP13-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP13-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP13-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT9,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT14,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT16,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP19-3,0.2689414322376251,0.2689414322376251,0.0,130.0
BRCA1,0.2689414322376251,0.2689414322376251,0.0,130.0
CDK4,0.2689414322376251,0.2689414322376251,0.0,130.0
TGFBR2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEF1,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEL2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB17,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT81,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT83,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT85,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT84,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT82,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT75,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT6B,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT6C,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-7,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF26,0.2689414322376251,0.2689414322376251,0.0,130.0
