Gene,IG Score After Training
LHX9,0.00024194776779040694
MIR181A1HG,0.2689414322376251
PTPRC,0.00027325493283569813
NR5A2,0.00024298991775140166
ZNF281,0.00023642214364372194
LOC101929224,0.2689414322376251
CACNA1S,0.0002421074459562078
IGFN1,0.00024286693951580673
CAMSAP2,1.723596142255701e-05
LGR6,0.00024217902682721615
IPO9-AS1,0.2689414322376251
NAV1,0.0002377109631197527
IPO9,0.00023239948495756835
KDM5B,0.00023287236399482936
PPFIA4,0.0002404637634754181
ADORA1,0.00024050204956438392
KLHL12,0.00023822352522984147
SYT2,0.00024283082166220993
ATP2B4,0.00027411681367084384
ZC3H11A,0.2689414322376251
GOLT1A,0.00024184008361771703
PLEKHA6,0.00024175083672162145
SOX13,0.0002395061746938154
NFASC,0.00024213561846408993
LEMD1,0.0002402712416369468
TMCC2,0.0002392505411989987
SRGAP2,0.2689414322376251
SLC26A9,0.0002413264155620709
MAPKAPK2,0.00023069999588187784
FCAMR,0.00024245234089903533
CD55,0.0002397414791630581
C4BPB,0.0002417925716144964
IL19,0.00024242045765276998
CR2,0.00024317813222296536
PLXNA2,0.00024134988780133426
CAMK1G,0.00024220118939410895
HHAT,0.00023911484458949417
DIEXF,0.2689414322376251
SERTAD4,0.0002340195351280272
SYT14,0.00024090275110211223
RCOR3,0.00023322390916291624
LINC00467,0.2689414322376251
PPP2R5A,0.00022550275025423616
DTL,0.00023492561012972146
INTS7,0.0002323099906789139
ATF3,0.0002417985670035705
NSL1,0.00023964689171407372
RPS6KC1,0.2689414322376251
PROX1,0.0002358570200158283
SMYD2,0.00023677857825532556
PTPN14,0.00023121261619962752
KCNK2,0.00024154811399057508
KCTD3,0.00024341822427231818
SPATA17,0.00024302469682879746
GPATCH2,0.00023276093997992575
MIR548F3,0.2689414322376251
TGFB2,0.00024206475063692778
BPNT1,0.00023670025984756649
LOC102723886,0.2689414322376251
MARK1,0.00023417042393703014
HLX-AS1,0.2689414322376251
AIDA,0.0002414771734038368
DISP1,0.00024003446742426604
TAF1A,0.00024085243057925254
CAPN2,3.638185444287956e-05
LOC100287497,0.2689414322376251
FBXO28,0.00023507977311965078
NVL,0.0002409105363767594
CAPN8,0.00024515503901056945
CNIH3,0.0002418331423541531
DNAH14,0.00023715361021459103
PARP1,0.00023745431099087
ENAH,1.754647928464692e-05
EPHX1,1.824406353989616e-05
PSEN2,0.00024370988830924034
CDC42BPA,0.00029966633883304894
ZNF678,0.00029315866413526237
OBSCN,2.115916504408233e-05
HIST3H2BB,0.00023994295042939484
WNT9A,0.00024004980514291674
RHOU,0.0002392015012446791
NUP133,0.00023691340174991637
GALNT2,0.0002394166513113305
PGBD5,0.00023929754388518631
TRIM67,0.00024191477859858423
TTC13,0.00023894642072264105
SPRTN,0.00025676985387690365
LINC00582,0.2689414322376251
PCNX2,0.0002347711124457419
SLC35F3,0.00023991023772396147
ARID4B,0.00022907603124622256
TBCE,0.00023731918190605938
MIR5096,0.2689414322376251
LYST,0.00023849078570492566
RBM34,0.00024285628751385957
EDARADD,0.00024259317433461547
GPR137B,0.0003003043821081519
HEATR1,0.00023696331481914967
MTR,0.00023280711320694536
NID1,0.0002345878747291863
ACTN2,0.00024157779989764094
RYR2,0.00024123738694470376
LOC100130331,0.2689414322376251
CHRM3,0.00023538504319731146
GREM2,0.00024079893773887306
WDR64,0.00024283754464704543
KMO,0.00024178980675060302
BECN2,0.00024198953178711236
CEP170,0.0002395191986579448
AKT3,1.7408803614671342e-05
LOC339529,0.2689414322376251
ZBTB18,0.0002383341343374923
ADSS,5.367958510760218e-05
C1orf101,0.2689414322376251
EFCAB2,0.000241941335843876
COX20,0.00024241881328634918
