Gene,IG Score Before Training
ACBD6,0.2689414322376251
RGSL1,0.2689414322376251
LINC01350,0.2689414322376251
ASPM,0.2689414322376251
NEK7,0.2689414322376251
RASSF5,0.2689414322376251
PPP1R12B,0.2689414322376251
CR1,0.2689414322376251
CDK18,0.2689414322376251
PIK3C2B,0.2689414322376251
KCNH1,0.2689414322376251
LPGAT1,0.2689414322376251
FLVCR1,0.2689414322376251
PROX1-AS1,0.2689414322376251
USH2A,0.2689414322376251
ESRRG,0.2689414322376251
LYPLAL1-AS1,0.2689414322376251
RAB3GAP2,0.2689414322376251
SUSD4,0.2689414322376251
WDR26,0.2689414322376251
URB2,0.2689414322376251
COG2,0.2689414322376251
TSNAX-DISC1,0.2689414322376251
DISC1,0.2689414322376251
FMN2,0.2689414322376251
RGS7,0.2689414322376251
PLD5,0.2689414322376251
KIF26B,0.2689414322376251
SMYD3,0.2689414322376251
LOC100130417,0.2689414322376251
PUSL1,0.2689414322376251
VWA1,0.2689414322376251
SSU72,0.2689414322376251
CDK11A,0.2689414322376251
GNB1,0.2689414322376251
CFAP74,0.2689414322376251
TTLL10,0.2689414322376251
MMEL1,0.2689414322376251
MORN1,0.2689414322376251
TTC34,0.2689414322376251
PLCH2,0.2689414322376251
TP73,0.2689414322376251
MEGF6,0.2689414322376251
AJAP1,0.2689414322376251
NPHP4,0.2689414322376251
KCNAB2,0.2689414322376251
CHD5,0.2689414322376251
NOL9,0.2689414322376251
DNAJC11,0.2689414322376251
SLC2A5,0.2689414322376251
MIR34AHG,0.2689414322376251
SPSB1,0.2689414322376251
KIF1B,0.2689414322376251
SLC25A33,0.2689414322376251
PIK3CD,0.2689414322376251
NMNAT1,0.2689414322376251
UBE4B,0.2689414322376251
CASZ1,0.2689414322376251
MTOR,0.2689414322376251
FBXO6,0.2689414322376251
VPS13D,0.2689414322376251
TNFRSF1B,0.2689414322376251
MTHFR,0.2689414322376251
PRAMEF19,0.2689414322376251
LRRC38,0.2689414322376251
PRDM2,0.2689414322376251
TMEM51,0.2689414322376251
FHAD1,0.2689414322376251
CELA2A,0.2689414322376251
SPEN,0.2689414322376251
FBXO42,0.2689414322376251
SZRD1,0.2689414322376251
