Gene,IG Score Before Training,IG Score After Training,Difference
MAGED1,0.17477974,0.1748307,5.096197e-05
DEGS2,0.28906506,0.289116,5.093217e-05
NQO1,0.098926075,0.09897699,5.0917268e-05
HIST1H2AI,0.26853693,0.2685877,5.0783157e-05
CYP4B1,0.27012333,0.27017394,5.0604343e-05
KRT14,0.29514623,0.2951963,5.00679e-05
LUC7L2,0.21333896,0.21338877,4.9814582e-05
SNRNP200,0.25154468,0.25159428,4.9591064e-05
RBM12,0.2463584,0.2464075,4.9099326e-05
CD3D,0.26674372,0.26679268,4.8965216e-05
SERPINI1,0.24484697,0.24489546,4.848838e-05
RARA,0.25334203,0.25339013,4.810095e-05
MMADHC,0.26104382,0.2610914,4.759431e-05
PTK7,0.24163482,0.24168222,4.7400594e-05
ZBTB7B,0.26125082,0.2612982,4.7385693e-05
ALYREF,0.22382334,0.22387056,4.722178e-05
BRK1,0.2683826,0.26842892,4.631281e-05
LSM12,0.25780213,0.25784835,4.6223402e-05
IER2,0.26413926,0.26418543,4.6163797e-05
CISD3,0.25657156,0.25661746,4.5895576e-05
MAZ,0.26851776,0.26856357,4.580617e-05
HNRNPU,0.26458055,0.26462576,4.5210123e-05
CBX3,0.31787992,0.31792477,4.4852495e-05
MDH2,0.2143517,0.2143965,4.480779e-05
PSMD14,0.25604638,0.25609115,4.476309e-05
NELFE,0.26257092,0.26261556,4.464388e-05
GBP5,0.25884047,0.2588849,4.4435263e-05
GRINA,0.23811027,0.23815462,4.4345856e-05
TKFC,0.25363636,0.25368065,4.428625e-05
RAC2,0.26595393,0.26599795,4.401803e-05
PDCD4,0.16538756,0.16543156,4.400313e-05
HIST1H3A,0.26921105,0.2692549,4.3839216e-05
ACTR3,0.24067898,0.24072264,4.3660402e-05
KDM1A,0.26906124,0.26910487,4.36306e-05
BTN3A2,0.275542,0.27558544,4.3451786e-05
FAM110A,0.27050292,0.27054626,4.3332577e-05
ATG16L1,0.26137155,0.26141477,4.3213367e-05
HIST1H4A,0.12203226,0.12207541,4.3146312e-05
PAX9,0.26988384,0.26992664,4.2796135e-05
CLCA2,0.27399224,0.27403486,4.261732e-05
PA2G4,0.22861585,0.22865844,4.258752e-05
ANAPC16,0.18604697,0.18608944,4.246831e-05
MTPN,0.24367955,0.24372166,4.211068e-05
HIST1H2BL,0.26905572,0.26909783,4.211068e-05
PTPRC,0.2728947,0.2729368,4.208088e-05
MFAP4,0.27454397,0.27458605,4.208088e-05
MED24,0.30076107,0.30080286,4.1782856e-05
CETN2,0.2520852,0.25212675,4.1544437e-05
ARHGAP45,0.2655741,0.26561552,4.1425228e-05
WWOX,0.23772523,0.2377663,4.10676e-05
EMID1,0.2718808,0.27192175,4.094839e-05
PREX1,0.2694947,0.26953563,4.091859e-05
SPTLC2,0.23574652,0.2357871,4.0575862e-05
ARID1A,0.2803856,0.28042617,4.056096e-05
SLC9A3R1,0.34609273,0.3461332,4.0471554e-05
C17orf58,0.2590661,0.2591065,4.0382147e-05
FBLN2,0.27596906,0.2760094,4.0352345e-05
SF3B2,0.22827253,0.2283128,4.027784e-05
PLEKHO1,0.2725215,0.2725617,4.0203333e-05
TPD52,0.1738376,0.1738777,4.0099025e-05
CAMK2N1,0.1685255,0.16856547,3.9964914e-05
DDX39B,0.23594168,0.2359816,3.992021e-05
DNMT1,0.25377142,0.2538113,3.9875507e-05
BLMH,0.26916656,0.26920632,3.9756298e-05
HOXD8,0.26595408,0.26599365,3.9577484e-05
ILF2,0.22864555,0.22868492,3.9368868e-05
ACLY,0.24216625,0.24220558,3.9324164e-05
KTN1,0.16447939,0.16451864,3.924966e-05
GIGYF2,0.26544747,0.26548654,3.9070845e-05
ADH5,0.2748671,0.27490613,3.9041042e-05
SFPQ,0.26879203,0.2688307,3.8653612e-05
MMP2,0.34286815,0.34290677,3.862381e-05
IRX3,0.13133112,0.1313696,3.84897e-05
ZNF581,0.25376353,0.25380188,3.835559e-05
HES4,0.27840945,0.27844772,3.8266182e-05
CALM3,0.20692666,0.20696482,3.8161874e-05
PCGF2,0.19702508,0.19706315,3.8072467e-05
APOBEC3A,0.26905265,0.26909068,3.8027763e-05
GLYATL1,0.26963574,0.26967376,3.8027763e-05
AQP5,0.2710877,0.2711257,3.799796e-05
GBP2,0.23611136,0.23614928,3.7923455e-05
TROAP,0.26315498,0.26319265,3.7670135e-05
PNRC2,0.2225162,0.22255386,3.7670135e-05
LGALS3BP,0.19785522,0.19789271,3.749132e-05
HIST1H3G,0.26983538,0.26987284,3.746152e-05
KHDRBS1,0.24502353,0.24506073,3.71933e-05
HSPA1B,0.14978717,0.14982429,3.7118793e-05
MSH2,0.2402733,0.24031039,3.708899e-05
APOL1,0.28001618,0.28005323,3.7044287e-05
DCXR,0.22470722,0.2247442,3.6984682e-05
IRF3,0.24585652,0.2458934,3.6880374e-05
HLA-F,0.27300888,0.27304572,3.683567e-05
TPX2,0.24142386,0.24146016,3.629923e-05
NDUFA13,0.26565862,0.2656949,3.6269426e-05
CERS6,0.2125971,0.21263334,3.6239624e-05
PITX1,0.2684497,0.26848587,3.618002e-05
RCC2,0.29368886,0.29372504,3.618002e-05
NUP205,0.2257886,0.22582473,3.6135316e-05
HIST1H2BI,0.2692989,0.26933503,3.6120415e-05
CLIC4,0.2661504,0.26618642,3.6031008e-05
RGL2,0.21650515,0.2165411,3.59416e-05
LRRC31,0.26312974,0.26316565,3.59118e-05
SSBP1,0.23895264,0.23898852,3.5881996e-05
HOOK2,0.24177678,0.24181263,3.5852194e-05
TXNL4A,0.18784803,0.18788387,3.5837293e-05
MTA3,0.2494389,0.24947461,3.5718083e-05
LRRC26,0.2740416,0.2740773,3.5703182e-05
WARS,0.21810369,0.21813935,3.565848e-05
PACSIN3,0.26422626,0.26426187,3.5613775e-05
PUF60,0.22388944,0.223925,3.555417e-05
MOV10,0.22965318,0.2296887,3.552437e-05
SLC1A4,0.22474639,0.22478174,3.5345554e-05
DYNLT1,0.2604583,0.2604936,3.5315752e-05
PMPCB,0.2003004,0.20033568,3.528595e-05
IRF1,0.22878827,0.22882347,3.5196543e-05
PYURF,0.20187218,0.20190728,3.5092235e-05
LDOC1,0.24342357,0.24345855,3.4987926e-05
NFKB2,0.2599082,0.25994316,3.4958124e-05
NCAPG2,0.2503627,0.25039765,3.4958124e-05
YPEL3,0.23753534,0.23757027,3.4928322e-05
TCF7L2,0.25382367,0.25385854,3.4868717e-05
SAPCD2,0.2596351,0.2596699,3.4809113e-05
