Gene,IG Score Before Training,IG Score After Training,Difference
GRN,0.19527824,0.19538184,0.00010359287
TMEM63B,0.24027424,0.24037746,0.00010322034
OS9,0.21587513,0.2159782,0.00010307133
MZB1,0.27086264,0.27096528,0.0001026392
APOE,0.96801883,0.9681198,0.00010097027
GAB1,0.26654226,0.2666428,0.000100553036
COMP,0.27437294,0.27447334,0.000100404024
CYBA,0.24438588,0.2444848,9.891391e-05
BRAP,0.26756987,0.26766843,9.855628e-05
EIF4B,0.22042283,0.22052135,9.851158e-05
ZNF140,0.2540946,0.25419277,9.816885e-05
MAPRE2,0.20852979,0.2086277,9.791553e-05
IFI30,0.338232,0.3383296,9.7602606e-05
STAM,0.24866746,0.24876498,9.75132e-05
CUL5,0.25457498,0.25467187,9.688735e-05
PDGFRB,0.2799832,0.28007996,9.676814e-05
ETV5,0.27078557,0.27088225,9.6678734e-05
NUCB1,0.19100182,0.19109847,9.664893e-05
RHOB,0.2045267,0.20462312,9.6425414e-05
RTTN,0.2764246,0.27652043,9.584427e-05
MED12,0.2526367,0.2527324,9.569526e-05
AGRN,0.43897277,0.43906808,9.530783e-05
TIMP1,0.6608995,0.6609944,9.4890594e-05
VPS25,0.23243797,0.23253283,9.486079e-05
AFF1,0.21009153,0.2101857,9.417534e-05
KAT8,0.25020164,0.2502953,9.36687e-05
ELP3,0.25775704,0.25785068,9.36389e-05
PARP8,0.26269317,0.2627866,9.343028e-05
PTRHD1,0.24661581,0.24670923,9.341538e-05
CACTIN,0.25525886,0.25535226,9.340048e-05
CEBPD,0.19736798,0.1974613,9.332597e-05
TXNL4A,0.18784803,0.18794073,9.2700124e-05
HDAC1,0.26113623,0.2612287,9.247661e-05
ATRN,0.21807182,0.21816377,9.1955066e-05
AKT2,0.20637628,0.20646742,9.11355e-05
PSMB10,0.22893228,0.22902334,9.1060996e-05
COMMD7,0.23937534,0.23946603,9.068847e-05
SUCLG1,0.22543767,0.22552815,9.047985e-05
ARCN1,0.18583061,0.18592073,9.012222e-05
ABCA1,0.27453488,0.27462453,8.9645386e-05
TRPC4AP,0.21201566,0.21210451,8.8855624e-05
GNB1,0.27195096,0.2720398,8.884072e-05
CCL8,0.2701637,0.270251,8.7291e-05
ARRB1,0.13535462,0.13544175,8.712709e-05
MINPP1,0.25612503,0.2562114,8.636713e-05
C11orf96,0.28306046,0.28314668,8.621812e-05
STAT2,0.27652234,0.27660805,8.571148e-05
NFE2L1,0.24903582,0.24912152,8.569658e-05
TYMP,0.3135761,0.3136611,8.499622e-05
RAP1GAP,0.25905007,0.25913498,8.490682e-05
SGK1,0.28994292,0.29002735,8.442998e-05
TIMM13,0.20619951,0.2062838,8.428097e-05
P4HA1,0.21372633,0.21381055,8.422136e-05
FAR2,0.2505024,0.25058618,8.377433e-05
ZNF704,0.25568548,0.255769,8.353591e-05
PTK2,0.253247,0.2533305,8.350611e-05
NINJ1,0.24970317,0.2497865,8.332729e-05
OAS2,0.2969828,0.29706547,8.267164e-05
HES6,0.26220912,0.26229152,8.240342e-05
PLA2G4C,0.24414791,0.24422972,8.1807375e-05
ZNF830,0.25310102,0.25318268,8.165836e-05
C1orf159,0.272882,0.27296343,8.1419945e-05
C2,0.25347608,0.25355738,8.1300735e-05
BMI1,0.23120168,0.23128246,8.0779195e-05
APOL6,0.2541236,0.25420406,8.046627e-05
SPESP1,0.2702395,0.27031994,8.043647e-05
EPS15,0.24125813,0.2413385,8.037686e-05
POLR3GL,0.2473752,0.2474553,8.009374e-05
HSPD1,0.1286097,0.12868905,7.934868e-05
FSCN1,0.31817278,0.3182521,7.930398e-05
YBX1,0.091398135,0.09147713,7.8998506e-05
FAM174B,0.23623554,0.2363145,7.896125e-05
CXCL9,0.25447398,0.25455293,7.894635e-05
ST6GALNAC6,0.24076235,0.24084112,7.876754e-05
PDHX,0.22179438,0.22187236,7.797778e-05
CTDSPL,0.21945007,0.21952774,7.766485e-05
GNPNAT1,0.2573822,0.25745982,7.760525e-05
BPTF,0.22568202,0.22575894,7.6919794e-05
TIMM8B,0.21072084,0.21079768,7.684529e-05
EIF3J,0.18690667,0.18698327,7.660687e-05
TBC1D7,0.25439623,0.25447264,7.6413155e-05
