Gene,IG Score Before Training,IG Score After Training,Difference
CISD1,0.2256758,0.22567588,7.4505806e-08
WDR45B,0.15080723,0.1508073,7.4505806e-08
SLC52A2,0.23567554,0.23567562,7.4505806e-08
GRB2,0.23386966,0.23386973,7.4505806e-08
AKAP8L,0.2324738,0.23247388,7.4505806e-08
RAB22A,0.2335402,0.23354028,7.4505806e-08
FBXL15,0.24274743,0.2427475,7.4505806e-08
ARIH2,0.20196962,0.2019697,7.4505806e-08
TSNAX,0.22908968,0.22908975,7.4505806e-08
ZNF428,0.23086649,0.23086657,7.4505806e-08
NUP85,0.22724834,0.22724842,7.4505806e-08
CHD9,0.22342184,0.22342192,7.4505806e-08
EPS15L1,0.2356384,0.23563847,7.4505806e-08
DNPH1,0.22769564,0.22769572,7.4505806e-08
DCTN4,0.2279523,0.22795238,7.4505806e-08
H2AFZ,0.23051561,0.23051569,7.4505806e-08
MTFR1,0.21772929,0.21772936,7.4505806e-08
CSNK1E,0.23840503,0.23840511,7.4505806e-08
CNPY3,0.21527173,0.2152718,7.4505806e-08
CLPTM1L,0.2012414,0.20124148,7.4505806e-08
PQBP1,0.22110358,0.22110365,7.4505806e-08
SHOC2,0.2290977,0.22909777,7.4505806e-08
PNN,0.1996289,0.19962898,7.4505806e-08
TSC22D4,0.24504793,0.24504799,5.9604645e-08
TRIM47,0.25567532,0.25567538,5.9604645e-08
GTF2F2,0.24919362,0.24919368,5.9604645e-08
SLC2A11,0.24926536,0.24926542,5.9604645e-08
NOL9,0.25340143,0.2534015,5.9604645e-08
ALDH7A1,0.2568883,0.25688836,5.9604645e-08
IL1R1,0.28917214,0.2891722,5.9604645e-08
POLR2J,0.2699191,0.26991916,5.9604645e-08
RPUSD3,0.25524133,0.2552414,5.9604645e-08
FAM133B,0.2575356,0.25753567,5.9604645e-08
SOD2,0.019855963,0.019856023,5.9604645e-08
ENY2,0.16257,0.16257006,5.9604645e-08
CRELD1,0.22632745,0.22632751,5.9604645e-08
APOL1,0.28001618,0.28001624,5.9604645e-08
POLRMT,0.2643251,0.26432517,5.9604645e-08
SEMA4C,0.25940034,0.2594004,5.9604645e-08
MTG2,0.2569221,0.25692216,5.9604645e-08
PHF20L1,0.23725253,0.2372526,5.9604645e-08
BTBD7,0.23024307,0.23024313,5.9604645e-08
UQCC3,0.24768554,0.2476856,5.9604645e-08
TMX1,0.25171107,0.25171113,5.9604645e-08
SDC3,0.26193345,0.2619335,5.9604645e-08
SMG9,0.26264885,0.2626489,5.9604645e-08
PLAGL2,0.2590686,0.25906867,5.9604645e-08
PTPRC,0.2728947,0.27289477,5.9604645e-08
GLS,0.24191584,0.2419159,5.9604645e-08
PIGL,0.25590715,0.2559072,5.9604645e-08
PCSK7,0.23617321,0.23617327,5.9604645e-08
SBNO2,0.24508744,0.2450875,5.9604645e-08
CCNT2,0.2412505,0.24125056,5.9604645e-08
TRIOBP,0.24002509,0.24002515,5.9604645e-08
HBP1,0.24583332,0.24583338,5.9604645e-08
CTSS,0.66473275,0.6647328,5.9604645e-08
TSTA3,0.23118192,0.23118198,5.9604645e-08
RBM12,0.2463584,0.24635845,5.9604645e-08
COBLL1,0.21976413,0.21976419,5.9604645e-08
NDRG3,0.25980097,0.25980103,5.9604645e-08
GATC,0.26014915,0.2601492,5.9604645e-08
AGO2,0.20233448,0.20233454,5.9604645e-08
TIMELESS,0.261665,0.26166505,5.9604645e-08
GJB1,0.2654911,0.26549116,5.9604645e-08
IMP4,0.2435707,0.24357076,5.9604645e-08
TTK,0.26083726,0.26083732,5.9604645e-08
GPAA1,0.188756,0.18875606,5.9604645e-08
FHL3,0.2632569,0.26325697,5.9604645e-08
HOMER3,0.26949266,0.26949272,5.9604645e-08
MRPL54,0.27048755,0.2704876,5.9604645e-08
YARS,0.2733103,0.27331036,5.9604645e-08
SNRPA1,0.2613064,0.26130646,5.9604645e-08
TPT1-AS1,0.26952314,0.2695232,5.9604645e-08
DNAH2,0.26895425,0.2689543,5.9604645e-08
TMEM98,0.26829943,0.2682995,5.9604645e-08
FZD8,0.2646777,0.26467776,5.9604645e-08
ITPKC,0.24009411,0.24009417,5.9604645e-08
ZNF667-AS1,0.26887068,0.26887074,5.9604645e-08
DNAJC11,0.26129174,0.2612918,5.9604645e-08
GATAD2B,0.22720626,0.22720632,5.9604645e-08
ALDH3B1,0.26679674,0.2667968,5.9604645e-08
PDK1,0.19970919,0.19970925,5.9604645e-08
