Gene,SPACER Score Before Training,SPACER Score After Training,Difference
KLHL24,-1.0,2.00447416305542,3.00447416305542
TNS3,-1.0,2.003300905227661,3.003300905227661
DLG5,-1.0,2.0020077228546143,3.0020077228546143
DHPS,-1.0,2.000972270965576,3.000972270965576
GRK3,-1.0,1.996841311454773,2.996841311454773
NUAK2,-1.0,1.9963833093643188,2.996383309364319
EPB41L4B,-1.0,1.989424467086792,2.989424467086792
PTBP3,-1.0,1.9888873100280762,2.988887310028076
OXLD1,-1.0,1.9847807884216309,2.984780788421631
ITFG2,-1.0,1.9831409454345703,2.9831409454345703
EPOR,-1.0,1.9819812774658203,2.9819812774658203
POM121,-1.0,1.9819245338439941,2.981924533843994
FAAH,-1.0,1.9761435985565186,2.9761435985565186
ZNF608,-1.0,1.974931240081787,2.974931240081787
CFI,-1.0,1.9747393131256104,2.9747393131256104
PPP2R5C,-1.0,1.9747318029403687,2.9747318029403687
CCT7,-1.0,1.9569356441497803,2.9569356441497803
ERCC6,-1.0,1.956150770187378,2.956150770187378
RYK,-1.0,1.9553288221359253,2.9553288221359253
SMARCE1,-1.0,1.95156729221344,2.95156729221344
UBE2A,-1.0,1.9485670328140259,2.948567032814026
NUP210,-1.0,1.9474785327911377,2.9474785327911377
MICAL3,-1.0,1.9467295408248901,2.94672954082489
WDR18,-1.0,1.9449987411499023,2.9449987411499023
GPA33,-1.0,1.9448235034942627,2.9448235034942627
GPSM2,-1.0,1.9415218830108643,2.9415218830108643
USP3,-1.0,1.9414958953857422,2.941495895385742
RARG,-1.0,1.9405561685562134,2.9405561685562134
KRT18,-1.0,1.9396036863327026,2.9396036863327026
KIAA1671,-1.0,1.9384448528289795,2.9384448528289795
PPP2R5A,-1.0,1.9376906156539917,2.9376906156539917
MRPL13,-1.0,1.9349546432495117,2.9349546432495117
CEACAM6,-1.0,1.9324640035629272,2.9324640035629272
SNX2,-1.0,1.9297027587890625,2.9297027587890625
POFUT1,-1.0,1.9281846284866333,2.9281846284866333
TRIM28,-1.0,1.9266674518585205,2.9266674518585205
PDS5A,-1.0,1.9251093864440918,2.925109386444092
HNF4A,-1.0,1.924413800239563,2.924413800239563
CCNB2,-1.0,1.924398422241211,2.924398422241211
ERGIC2,-1.0,1.9241621494293213,2.9241621494293213
PTS,-1.0,1.9208558797836304,2.9208558797836304
NOL11,-1.0,1.9201219081878662,2.920121908187866
USP32,-1.0,1.9191569089889526,2.9191569089889526
DNASE2,-1.0,1.9185770750045776,2.9185770750045776
PIH1D1,-1.0,1.917042851448059,2.917042851448059
SNHG19,-1.0,1.9166128635406494,2.9166128635406494
RRAS2,-1.0,1.9151818752288818,2.915181875228882
TMPRSS3,-1.0,1.9123401641845703,2.9123401641845703
ST6GALNAC2,-1.0,1.9121240377426147,2.9121240377426147
HMGCR,-1.0,1.9105584621429443,2.9105584621429443
BMI1,-1.0,1.909328818321228,2.909328818321228
ANP32A,-1.0,1.9080296754837036,2.9080296754837036
FBXW4,-1.0,1.9036870002746582,2.903687000274658
SLC7A2,-1.0,1.9016495943069458,2.901649594306946
SMIM4,-1.0,1.8971015214920044,2.8971015214920044
GSS,-1.0,1.8916031122207642,2.891603112220764
TM7SF3,-1.0,1.8912851810455322,2.8912851810455322
PTGS1,-1.0,1.8908988237380981,2.890898823738098
SIGMAR1,-1.0,1.8905277252197266,2.8905277252197266
PTPN18,-1.0,1.8883552551269531,2.888355255126953
NAA60,-1.0,1.8879718780517578,2.887971878051758
FGFR4,-1.0,1.8876049518585205,2.8876049518585205
ADAMTS15,-1.0,1.8861416578292847,2.8861416578292847
TPCN1,-1.0,1.8840129375457764,2.8840129375457764
WBP2,-1.0,1.8787652254104614,2.8787652254104614
SPEG,-1.0,1.8753491640090942,2.8753491640090942
CLN6,-1.0,1.8720706701278687,2.8720706701278687
LETMD1,-1.0,1.8694876432418823,2.8694876432418823
SLC12A7,-1.0,1.868334412574768,2.868334412574768
GPATCH2,-1.0,1.863669991493225,2.863669991493225
LSM6,-1.0,1.8635940551757812,2.8635940551757812
CEACAM5,-1.0,1.8628051280975342,2.862805128097534
NRAS,-1.0,1.859455943107605,2.859455943107605
OTUD4,-1.0,1.857916235923767,2.857916235923767
IARS,-1.0,1.8542890548706055,2.8542890548706055
PFKL,-1.0,1.851995587348938,2.851995587348938
TRIOBP,-1.0,1.850982666015625,2.850982666015625
SLC25A1,-1.0,1.8477590084075928,2.8477590084075928
NMD3,-1.0,1.846868634223938,2.846868634223938
MRPL3,-1.0,1.843133568763733,2.843133568763733
SNHG9,-1.0,1.8430705070495605,2.8430705070495605
PPFIA1,-1.0,1.839002013206482,2.839002013206482
NAPA,-1.0,1.835126280784607,2.835126280784607
MTX2,-1.0,1.8322268724441528,2.832226872444153
LGR6,-1.0,1.8310810327529907,2.8310810327529907
ESRP1,-1.0,1.8288167715072632,2.828816771507263
NPEPPS,-1.0,1.8265597820281982,2.8265597820281982
C10orf99,-1.0,1.8257020711898804,2.8257020711898804
PLCD3,-1.0,1.8247129917144775,2.8247129917144775
ZFAS1,-1.0,1.8246186971664429,2.824618697166443
GTPBP4,-1.0,1.8234374523162842,2.823437452316284
AP1M2,-1.0,1.8217182159423828,2.821718215942383
TTC39C,-1.0,1.8213496208190918,2.821349620819092
COPRS,-1.0,1.8108528852462769,2.810852885246277
SLC48A1,-1.0,1.8043420314788818,2.804342031478882
R3HDM4,-1.0,1.800784945487976,2.800784945487976
BTAF1,-1.0,1.8000876903533936,2.8000876903533936
TSPAN6,-1.0,1.8000067472457886,2.8000067472457886
LARP7,-1.0,1.7995870113372803,2.7995870113372803
PLS1,-1.0,1.7971409559249878,2.797140955924988
NSUN2,-1.0,1.7963635921478271,2.796363592147827
EIF4G1,-1.0,1.7952619791030884,2.7952619791030884
PRKCD,-1.0,1.793969988822937,2.793969988822937
TJP2,-1.0,1.792757272720337,2.792757272720337
MTERF4,-1.0,1.791424036026001,2.791424036026001
HIST1H4B,-1.0,1.7911708354949951,2.791170835494995
PLEKHG5,-1.0,1.7895879745483398,2.78958797454834
NTHL1,-1.0,1.7887059450149536,2.7887059450149536
ZDHHC16,-1.0,1.7861816883087158,2.786181688308716
BROX,-1.0,1.7859785556793213,2.7859785556793213
