Gene,IG Score Before Training,IG Score After Training,Difference
LOC102467655,0.26894143,0.26894143,0.0
LOC101928858,0.26894143,0.26894143,0.0
CD180,0.26901445,0.26901445,0.0
S100Z,0.26894143,0.26894143,0.0
NCRUPAR,0.26894143,0.26894143,0.0
LOC101929109,0.26894143,0.26894143,0.0
F2RL2,0.26900962,0.26900962,0.0
POC5,0.27095753,0.27095753,0.0
LOC101928885,0.26894143,0.26894143,0.0
CCDC112,0.2506536,0.2506536,0.0
LUCAT1,0.26894143,0.26894143,0.0
LYSMD3,0.25139433,0.25139433,0.0
SNORA13,0.26894143,0.26894143,0.0
EPB41L4A-AS1,0.26956597,0.26956597,0.0
STARD4,0.25688317,0.25688317,0.0
LOC100289673,0.26894143,0.26894143,0.0
MBLAC2,0.26492023,0.26492023,0.0
LOC101927059,0.26894143,0.26894143,0.0
TSSK1B,0.26894143,0.26894143,0.0
LOC102467216,0.26894143,0.26894143,0.0
LINC01023,0.26915365,0.26915365,0.0
RAB9BP1,0.26894143,0.26894143,0.0
NUDT12,0.26741013,0.26741013,0.0
LOC102467212,0.26894143,0.26894143,0.0
GIN1,0.26267403,0.26267403,0.0
TRIM36,0.26181173,0.26181173,0.0
ALDH7A1,0.2568883,0.2568883,0.0
LOC101927488,0.26894143,0.26894143,0.0
LOC102546228,0.26894143,0.26894143,0.0
P4HA2-AS1,0.26894143,0.26894143,0.0
LOC102467223,0.26894143,0.26894143,0.0
SEMA6A-AS1,0.2688281,0.2688281,0.0
LOC101927190,0.26894143,0.26894143,0.0
TICAM2,0.27071506,0.27071506,0.0
LOC101927357,0.26894143,0.26894143,0.0
MGC32805,0.26894143,0.26894143,0.0
LOC100505841,0.26894143,0.26894143,0.0
ZNF474,0.26894143,0.26894143,0.0
LOC102467214,0.26894143,0.26894143,0.0
ARL14EPL,0.26894143,0.26894143,0.0
CDO1,0.25811037,0.25811037,0.0
LOC102467217,0.26894143,0.26894143,0.0
PRDM6,0.2689542,0.2689542,0.0
GLRX,0.20427729,0.20427729,0.0
MIR548P,0.26894143,0.26894143,0.0
ST8SIA4,0.26434717,0.26434717,0.0
LOC100133050,0.26894143,0.26894143,0.0
CTD-2151A2.1,0.26894143,0.26894143,0.0
LOC100289230,0.26894143,0.26894143,0.0
RGMB-AS1,0.26888067,0.26888067,0.0
LINC00492,0.26894143,0.26894143,0.0
MIR2277,0.26894143,0.26894143,0.0
ARRDC3-AS1,0.26885486,0.26885486,0.0
ERAP2,0.24635793,0.24635793,0.0
ERAP1,0.24941513,0.24941513,0.0
PCSK1,0.0071434146,0.0071434146,0.0
MIR583,0.26894143,0.26894143,0.0
LINC01554,0.26894143,0.26894143,0.0
POLR3G,0.2697089,0.2697089,0.0
WFDC21P,0.26894143,0.26894143,0.0
EPB41L4A-AS2,0.26894143,0.26894143,0.0
LOC101927023,0.26894143,0.26894143,0.0
MSX2P1,0.26894143,0.26894143,0.0
MIR454,0.26894143,0.26894143,0.0
C17orf47,0.26894143,0.26894143,0.0
SEPT4-AS1,0.26894143,0.26894143,0.0
SEPT4,0.26894143,0.26894143,0.0
MIR21,0.26894143,0.26894143,0.0
LOC101927855,0.26894143,0.26894143,0.0
MIR301A,0.26894143,0.26894143,0.0
LOC105371849,0.26894143,0.26894143,0.0
MIR4737,0.26894143,0.26894143,0.0
LOC653653,0.26894143,0.26894143,0.0
LOC101927755,0.26894143,0.26894143,0.0
TBC1D3P1-DHX40P1,0.26894143,0.26894143,0.0
C17orf82,0.26894143,0.26894143,0.0
TBX2-AS1,0.26899865,0.26899865,0.0
MIR4729,0.26894143,0.26894143,0.0
ADAMTS16,0.26899576,0.26899576,0.0
LOC643201,0.26894143,0.26894143,0.0
TENM2,0.26894143,0.26894143,0.0
FGF1,0.26967475,0.26967475,0.0
LINC00992,0.26894143,0.26894143,0.0
C5orf17,0.26894143,0.26894143,0.0
LOC646241,0.26894143,0.26894143,0.0
LOC105377716,0.26894143,0.26894143,0.0
LINC01630,0.26894143,0.26894143,0.0
ELAC1,0.27123174,0.27123174,0.0
MAPK4,0.13164566,0.13164566,0.0
ALPK2,0.26894143,0.26894143,0.0
BOD1L2,0.26894143,0.26894143,0.0
LINC01539,0.26894143,0.26894143,0.0
CCDC68,0.26286125,0.26286125,0.0
LINC01478,0.26894143,0.26894143,0.0
SLC14A2,0.26894143,0.26894143,0.0
DSG1,0.26926625,0.26926625,0.0
CDH2,0.2656264,0.2656264,0.0
AQP4-AS1,0.2688587,0.2688587,0.0
TAF4B,0.26687276,0.26687276,0.0
MAPRE2,0.20852979,0.20852979,0.0
NOL4,0.2575929,0.2575929,0.0
ASXL3,0.26894143,0.26894143,0.0
LINC01194,0.26892155,0.26892155,0.0
CDH18,0.2686966,0.2686966,0.0
CDH12,0.25574854,0.25574854,0.0
FBXL7,0.21256118,0.21256118,0.0
CTNND2,0.2698223,0.2698223,0.0
ELOVL7,0.23673318,0.23673318,0.0
LOC642366,0.26894143,0.26894143,0.0
FLJ32255,0.26894143,0.26894143,0.0
OSMR-AS1,0.26894143,0.26894143,0.0
KLHL14,0.27488822,0.27488822,0.0
MTNR1A,0.26894143,0.26894143,0.0
F11,0.26894143,0.26894143,0.0
COL4A3BP,0.26889014,0.26889014,0.0
RAB3C,0.25682497,0.25682497,0.0
MIR3945,0.26894143,0.26894143,0.0
FAM149A,0.2656763,0.2656763,0.0
FLJ38576,0.26894143,0.26894143,0.0
LINC00907,0.2688592,0.2688592,0.0
PDLIM3,0.27414453,0.27414453,0.0
LOC105377590,0.26894143,0.26894143,0.0
C4orf47,0.26968774,0.26968774,0.0
FRG2,0.26894143,0.26894143,0.0
IQGAP2,0.26929298,0.26929298,0.0
LINC01331,0.26894143,0.26894143,0.0
GUSBP3,0.26894143,0.26894143,0.0
SMA4,0.26894143,0.26894143,0.0
TLR3,0.26993915,0.26993915,0.0
MIR924HG,0.26894143,0.26894143,0.0
CELF4,0.25883457,0.25883457,0.0
LOXHD1,0.26894143,0.26894143,0.0
SLC14A2-AS1,0.26894143,0.26894143,0.0
PSTPIP2,0.28789228,0.28789228,0.0
SLC14A1,0.26923636,0.26923636,0.0
LOC729506,0.26894143,0.26894143,0.0
ADAMTS12,0.27137548,0.27137548,0.0
ZFP42,0.26894143,0.26894143,0.0
DBET,0.26894143,0.26894143,0.0
MIR4276,0.26894143,0.26894143,0.0
FBXO8,0.25935388,0.25935388,0.0
HAND2,0.26895604,0.26895604,0.0
HMGB2,0.34106117,0.34106117,0.0
LINC01596,0.26894143,0.26894143,0.0
TRIML1,0.26894143,0.26894143,0.0
TRIML2,0.26894143,0.26894143,0.0
PPP2CA,0.24618702,0.24618702,0.0
ANKRD30B,0.27517104,0.27517104,0.0
MC2R,0.26247457,0.26247457,0.0
PTPN2,0.26119626,0.26119626,0.0
LOC729950,0.26894143,0.26894143,0.0
OSBPL1A,0.2599237,0.2599237,0.0
ADCY2,0.25939867,0.25939867,0.0
C5orf38,0.2710079,0.2710079,0.0
CMYA5,0.26227915,0.26227915,0.0
SDHAP3,0.26894143,0.26894143,0.0
LOC101929505,0.26894143,0.26894143,0.0
MARCH11,0.25531495,0.25531495,0.0
LOC101929454,0.26894143,0.26894143,0.0
DNAH5,0.2699272,0.2699272,0.0
LOC101927697,0.26894143,0.26894143,0.0
CTB-12O2.1,0.26894143,0.26894143,0.0
CYFIP2,0.24394067,0.24394067,0.0
SLC6A3,0.26894143,0.26894143,0.0
LAMA1,0.27036095,0.27036095,0.0
LINC01387,0.26894143,0.26894143,0.0
MIR3976HG,0.26894143,0.26894143,0.0
EPB41L3,0.17800917,0.17800917,0.0
GNAL,0.24768993,0.24768993,0.0
PIEZO2,0.26910684,0.26910684,0.0
CDH9,0.26894143,0.26894143,0.0
GREB1L,0.25978428,0.25978428,0.0
RIT2,0.26894143,0.26894143,0.0
LINC00470,0.26894143,0.26894143,0.0
TYMSOS,0.26902515,0.26902515,0.0
COLEC12,0.27450895,0.27450895,0.0
THOC1,0.25670952,0.25670952,0.0
LINC00908,0.26894143,0.26894143,0.0
FAM69C,0.26894143,0.26894143,0.0
ANKRD33B,0.26988596,0.26988596,0.0
DCC,0.26328543,0.26328543,0.0
C5orf66,0.26894143,0.26894143,0.0
HRAT56,0.26894143,0.26894143,0.0
EPB41L4A,0.2711495,0.2711495,0.0
LOC102467213,0.26894143,0.26894143,0.0
LINC01340,0.26894143,0.26894143,0.0
TRPC7,0.26894143,0.26894143,0.0
CHSY3,0.26651973,0.26651973,0.0
SLC9A3,0.26911646,0.26911646,0.0
CCDC192,0.26894143,0.26894143,0.0
CCDC178,0.26894143,0.26894143,0.0
LOC101929710,0.26894143,0.26894143,0.0
KIAA0825,0.26949498,0.26949498,0.0
FAM81B,0.26894143,0.26894143,0.0
LINC01339,0.26894143,0.26894143,0.0
MEF2C-AS1,0.2683465,0.2683465,0.0
MSH3,0.26414868,0.26414868,0.0
SLC27A6,0.26894143,0.26894143,0.0
COL23A1,0.26894915,0.26894915,0.0
FAM196B,0.26894143,0.26894143,0.0
HMP19,0.26894143,0.26894143,0.0
LOC285692,0.26894143,0.26894143,0.0
FYB,0.26894143,0.26894143,0.0
LIFR-AS1,0.26894143,0.26894143,0.0
EGFLAM,0.2692373,0.2692373,0.0
RANBP17,0.25755906,0.25755906,0.0
TRPC7-AS2,0.26894143,0.26894143,0.0
SLIT3,0.2697741,0.2697741,0.0
GABRB2,0.26894143,0.26894143,0.0
LOC101927379,0.26894143,0.26894143,0.0
PRR16,0.26960477,0.26960477,0.0
PPP2R2B,0.23004416,0.23004416,0.0
SPOCK1,0.26389572,0.26389572,0.0
ANKHD1-EIF4EBP3,0.26894143,0.26894143,0.0
ECSCR,0.2692755,0.2692755,0.0
DOCK2,0.26775098,0.26775098,0.0
MIR3140,0.26894143,0.26894143,0.0
DEAR,0.26894143,0.26894143,0.0
LOC100996286,0.26894143,0.26894143,0.0
FGA,0.16998203,0.16998203,0.0
LOC101928131,0.26894143,0.26894143,0.0
PRSS48,0.26894143,0.26894143,0.0
SNORD73A,0.26894143,0.26894143,0.0
LRP2BP,0.24657089,0.24657089,0.0
MAB21L2,0.26891807,0.26891807,0.0
LOC105377480,0.26894143,0.26894143,0.0
MIR4799,0.26894143,0.26894143,0.0
PRMT9,0.2518365,0.2518365,0.0
GAPLINC,0.26891717,0.26891717,0.0
LOC104968399,0.26894143,0.26894143,0.0
LOC727896,0.26894143,0.26894143,0.0
LPIN2,0.236278,0.236278,0.0
RPS3A,0.13542196,0.13542196,0.0
FGG,0.23346837,0.23346837,0.0
UCP1,0.26894143,0.26894143,0.0
MGAT4D,0.26894143,0.26894143,0.0
CLGN,0.25642842,0.25642842,0.0
SCOC-AS1,0.26884204,0.26884204,0.0
FGB,0.0033994205,0.0033994205,0.0
LOC100419170,0.26894143,0.26894143,0.0
DKFZP434I0714,0.26894143,0.26894143,0.0
LOC729870,0.26894143,0.26894143,0.0
CTSO,0.25754273,0.25754273,0.0
TDO2,0.26899052,0.26899052,0.0
GUCY1B3,0.26894143,0.26894143,0.0
MAP9,0.25879794,0.25879794,0.0
TIGD4,0.26887667,0.26887667,0.0
TMEM154,0.26228464,0.26228464,0.0
MIR4453,0.26894143,0.26894143,0.0
ANXA2P1,0.26894143,0.26894143,0.0
MIR7849,0.26894143,0.26894143,0.0
MGARP,0.26894143,0.26894143,0.0
GUSBP5,0.26894143,0.26894143,0.0
SMARCA5-AS1,0.26894143,0.26894143,0.0
MIR3139,0.26894143,0.26894143,0.0
LOC105377623,0.26894143,0.26894143,0.0
LOC100507639,0.26894143,0.26894143,0.0
CBX3P2,0.26894143,0.26894143,0.0
SMAD1-AS2,0.26894143,0.26894143,0.0
IL2,0.26894143,0.26894143,0.0
LOC101927305,0.26894143,0.26894143,0.0
PLK4,0.26751995,0.26751995,0.0
SLC25A31,0.26894143,0.26894143,0.0
MIR2054,0.26894143,0.26894143,0.0
NOCT,0.24888036,0.24888036,0.0
SLC7A11,0.27679121,0.27679121,0.0
TNRC18P1,0.26894143,0.26894143,0.0
LINC00526,0.26894143,0.26894143,0.0
AKAIN1,0.26894143,0.26894143,0.0
DLGAP1-AS5,0.26894143,0.26894143,0.0
LINC01095,0.26894143,0.26894143,0.0
C4orf51,0.26894143,0.26894143,0.0
SMAD1-AS1,0.26894143,0.26894143,0.0
METTL4,0.2638547,0.2638547,0.0
ADCYAP1,0.063195705,0.063195705,0.0
POU4F2,0.26894143,0.26894143,0.0
CETN1,0.26894143,0.26894143,0.0
LOC105376854,0.26894143,0.26894143,0.0
HHIP-AS1,0.26894143,0.26894143,0.0
GYPA,0.26894143,0.26894143,0.0
GYPB,0.26894143,0.26894143,0.0
GYPE,0.26894143,0.26894143,0.0
LOC105377458,0.26894143,0.26894143,0.0
MIR548G,0.26894143,0.26894143,0.0
CLUL1,0.26541293,0.26541293,0.0
LINC00305,0.26894143,0.26894143,0.0
KIAA1468,0.2689039,0.2689039,0.0
ADAM29,0.26894143,0.26894143,0.0
RWDD4,0.25140172,0.25140172,0.0
CLDN22,0.26894143,0.26894143,0.0
CLDN24,0.26894143,0.26894143,0.0
FAM92A1P2,0.26894143,0.26894143,0.0
LRAT,0.23573714,0.23573714,0.0
MIR3945HG,0.26894143,0.26894143,0.0
SLED1,0.26894143,0.26894143,0.0
MIR548T,0.26894143,0.26894143,0.0
LOC101928314,0.26894143,0.26894143,0.0
MIR1305,0.26894143,0.26894143,0.0
LOC90768,0.26894143,0.26894143,0.0
SPATA4,0.26894143,0.26894143,0.0
ASB5,0.26894143,0.26894143,0.0
WWC2-AS2,0.26894143,0.26894143,0.0
HELT,0.26894143,0.26894143,0.0
MIR4455,0.26894143,0.26894143,0.0
LINC01093,0.26894143,0.26894143,0.0
CDH20,0.26894143,0.26894143,0.0
LINC01541,0.26894143,0.26894143,0.0
GTSCR1,0.26894143,0.26894143,0.0
DOK6,0.22716172,0.22716172,0.0
LOC284294,0.26894143,0.26894143,0.0
LOC643542,0.26894143,0.26894143,0.0
CDH19,0.12891926,0.12891926,0.0
LOC100131655,0.26894143,0.26894143,0.0
LVCAT8,0.26894143,0.26894143,0.0
LOC102723766,0.26894143,0.26894143,0.0
LOC728175,0.26894143,0.26894143,0.0
CDH7,0.2692033,0.2692033,0.0
LINC01538,0.26894143,0.26894143,0.0
CCDC102B,0.27340737,0.27340737,0.0
TMEM144,0.26584575,0.26584575,0.0
FAM198B,0.26886278,0.26886278,0.0
LOC340017,0.26894143,0.26894143,0.0
ANP32C,0.26894143,0.26894143,0.0
TKTL2,0.26894143,0.26894143,0.0
